dataset,family,n,main_direction_cosine_mean,main_direction_cosine_std,initial_gradient_cosine_min,maxeig_A1_minus_local_max,maxeig_local_minus_le2_max,maxeig_le2_minus_QFIM_max,A1_rank_mean,A1_trace_ratio_to_QFIM_mean,A1_trace_ratio_to_QFIM_std,A1_direction_cosine_to_QNG_mean,A1_direction_cosine_to_QNG_std,local_rank_mean,local_trace_ratio_to_QFIM_mean,local_trace_ratio_to_QFIM_std,local_direction_cosine_to_QNG_mean,local_direction_cosine_to_QNG_std,le2_rank_mean,le2_trace_ratio_to_QFIM_mean,le2_trace_ratio_to_QFIM_std,le2_direction_cosine_to_QNG_mean,le2_direction_cosine_to_QNG_std
breast_cancer,ryrz_cz,20,0.6155507369294161,0.21162833989337637,0.9999999999999998,1.3223999567812546e-15,5.490313375713441e-17,-1.6519521865256567e-09,4.0,0.07967427117251995,0.013286445333924552,0.20736176134798523,0.32400512664506775,23.65,0.48393239464703736,0.034720810606776134,0.3299517559888798,0.4309891549164044,29.45,0.6178285143761556,0.03370016588737048,0.6155507369294161,0.21162833989337637
breast_cancer,su2_cnot,20,0.39074186375746983,0.22740224157552913,0.9999999999999998,1.986191610429043e-15,1.8695030172282472e-16,1.6658372679806425e-15,4.0,0.04646921355177422,0.009669621144015358,0.3848803896248506,0.18009383424748154,24.0,0.15106541936853649,0.01687813679169465,0.3528802285123053,0.17786402895537426,44.0,0.34014196879343817,0.026497206781392762,0.39074186375746983,0.22740224157552913
breast_cancer,su2_haar,20,0.6887347450146567,0.251722978625027,0.9999999999999998,3.3058438554126324e-16,2.2166605070139643e-16,1.5777054707367178e-15,4.0,0.02590844955288444,0.008323162224473333,0.3442676534957938,0.12836264355495822,24.0,0.12765342434886112,0.023240695411956537,0.3713735578999886,0.11359391136325483,48.0,0.262675073147772,0.028460294648741183,0.6887347450146567,0.251722978625027
breast_cancer,u1_rzxy,20,0.8582629521881687,0.1453834336408786,1.0,1.5637470767091073e-15,7.424441337515353e-06,1.5058348199349353e-15,3.95,0.009181630140496645,0.0011534196867416116,0.7287973020851763,0.19852023704230493,18.15,0.33728294412631177,0.06165798235674792,0.8531335179983301,0.14613219725245155,19.7,0.3438155530971212,0.06292749699307222,0.8582629521881687,0.1453834336408786
digits01,ryrz_cz,20,0.6222022578456842,0.18313457295766875,0.9999999999999998,5.925883105925412e-16,7.826816344974962e-17,-4.1363292943808284e-10,4.0,0.08381479761357073,0.01675016238847042,0.3686938603562229,0.3251606940078299,23.6,0.5026381624540333,0.03987167943589349,0.46163810984820036,0.3923013887250551,29.35,0.6373218658860166,0.027930493131175498,0.6222022578456842,0.18313457295766875
digits01,su2_cnot,20,0.39691009668347377,0.21367911992346134,0.9999999999999998,5.983874930716515e-16,2.234644725666795e-16,2.0814653616204764e-15,4.0,0.04218299546744991,0.005903795684961576,0.19516155741959343,0.17665888070084834,24.0,0.16921867473617774,0.011839359659778323,0.2035358278864114,0.18834952642117112,44.0,0.35959918277088765,0.020340214070355363,0.39691009668347377,0.21367911992346134
digits01,su2_haar,20,0.6684882894757574,0.171559993627841,0.9999999999999998,3.316678345612415e-16,2.4314363827180044e-16,1.828257856291442e-15,4.0,0.025870999683146045,0.008566388631853734,0.2227947891185201,0.11050594256573433,24.0,0.1268420076903207,0.032708933379027014,0.2555238042362874,0.15769910559014833,48.0,0.26239585818789735,0.042458950059575236,0.6684882894757574,0.171559993627841
digits01,u1_rzxy,20,0.9316698948516191,0.06140216211054648,0.9999999999999998,4.575042117700304e-16,5.947434779047211e-06,1.6440955181736273e-15,3.85,0.00954240937928489,0.0012889802102163358,0.802964974294522,0.15063301643192195,18.0,0.32873473551612964,0.04127217072722604,0.9290104188887147,0.06313280551560493,19.4,0.33554887744767836,0.040908319472917676,0.9316698948516191,0.06140216211054648
iris01,ryrz_cz,20,0.6685424002594023,0.20429761490294085,0.9999999999999998,8.38700063791934e-16,9.744581348405479e-13,2.366905631569953e-13,3.9,0.08158205353943607,0.010878004950090456,0.4111278944450169,0.2213918660926003,20.4,0.4520802968355736,0.03415287479564703,0.4910399473072733,0.29568545157659637,26.85,0.5872249950883626,0.0412971975647229,0.6685424002594023,0.20429761490294085
iris01,su2_cnot,20,0.467814618364392,0.27386347586350585,1.0,2.3923554421041146e-15,3.454715034922429e-16,2.054441397572959e-15,4.0,0.05407982589785458,0.0037040525013641097,0.3439004497407979,0.27287318329525706,24.0,0.12879901844295588,0.01649622007887722,0.34426110144030575,0.2868061598380256,42.0,0.2977946277601343,0.014015530216472553,0.467814618364392,0.27386347586350585
