dataset,family,method,n,n_params,readout_feature_count,state_dimension,metric_builds,metric_examples_total,loss_examples_total,metric_backend,loss_backend
breast_cancer,ryrz_cz,AQNG,20,36,21,64,10,40,160,lightning.qubit,lightning.qubit
breast_cancer,ryrz_cz,Full-QNG,20,36,21,64,10,40,160,default.qubit,lightning.qubit
breast_cancer,su2_cnot,AQNG,20,54,21,64,10,40,160,lightning.qubit,lightning.qubit
breast_cancer,su2_cnot,Full-QNG,20,54,21,64,10,40,160,default.qubit,lightning.qubit
breast_cancer,su2_haar,AQNG,20,54,21,64,10,40,160,lightning.qubit,lightning.qubit
breast_cancer,su2_haar,Full-QNG,20,54,21,64,10,40,160,default.qubit,lightning.qubit
breast_cancer,u1_rzxy,AQNG,20,33,21,64,10,40,160,lightning.qubit,lightning.qubit
breast_cancer,u1_rzxy,Full-QNG,20,33,21,64,10,40,160,default.qubit,lightning.qubit
digits01,ryrz_cz,AQNG,20,36,21,64,10,40,160,lightning.qubit,lightning.qubit
digits01,ryrz_cz,Full-QNG,20,36,21,64,10,40,160,default.qubit,lightning.qubit
digits01,su2_cnot,AQNG,20,54,21,64,10,40,160,lightning.qubit,lightning.qubit
digits01,su2_cnot,Full-QNG,20,54,21,64,10,40,160,default.qubit,lightning.qubit
digits01,su2_haar,AQNG,20,54,21,64,10,40,160,lightning.qubit,lightning.qubit
digits01,su2_haar,Full-QNG,20,54,21,64,10,40,160,default.qubit,lightning.qubit
digits01,u1_rzxy,AQNG,20,33,21,64,10,40,160,lightning.qubit,lightning.qubit
digits01,u1_rzxy,Full-QNG,20,33,21,64,10,40,160,default.qubit,lightning.qubit
iris01,ryrz_cz,AQNG,20,36,21,64,10,40,160,lightning.qubit,lightning.qubit
iris01,ryrz_cz,Full-QNG,20,36,21,64,10,40,160,default.qubit,lightning.qubit
iris01,su2_cnot,AQNG,20,54,21,64,10,40,160,lightning.qubit,lightning.qubit
iris01,su2_cnot,Full-QNG,20,54,21,64,10,40,160,default.qubit,lightning.qubit
iris01,su2_haar,AQNG,20,54,21,64,10,40,160,lightning.qubit,lightning.qubit
iris01,su2_haar,Full-QNG,20,54,21,64,10,40,160,default.qubit,lightning.qubit
iris01,u1_rzxy,AQNG,20,33,21,64,10,40,160,lightning.qubit,lightning.qubit
iris01,u1_rzxy,Full-QNG,20,33,21,64,10,40,160,default.qubit,lightning.qubit
wine01,ryrz_cz,AQNG,20,36,21,64,10,40,160,lightning.qubit,lightning.qubit
wine01,ryrz_cz,Full-QNG,20,36,21,64,10,40,160,default.qubit,lightning.qubit
wine01,su2_cnot,AQNG,20,54,21,64,10,40,160,lightning.qubit,lightning.qubit
wine01,su2_cnot,Full-QNG,20,54,21,64,10,40,160,default.qubit,lightning.qubit
wine01,su2_haar,AQNG,20,54,21,64,10,40,160,lightning.qubit,lightning.qubit
wine01,su2_haar,Full-QNG,20,54,21,64,10,40,160,default.qubit,lightning.qubit
wine01,u1_rzxy,AQNG,20,33,21,64,10,40,160,lightning.qubit,lightning.qubit
wine01,u1_rzxy,Full-QNG,20,33,21,64,10,40,160,default.qubit,lightning.qubit
