dataset,family,method,seed,n_qubits,n_layers,n_params,n_samples,train_size,test_size,subset_seed,split_seed,steps,lr,lam,loss_batch,metric_batch,metric_every,readout,readout_feature_count,state_dimension,loss_backend,metric_backend,timing_interpretation,train_loss,train_acc,test_loss,test_acc,total_seconds,metric_seconds,gradient_seconds,solve_seconds,metric_builds,metric_examples_total,loss_examples_total,metric_rank_first,metric_trace_first,metric_condition_first,regularized_metric_condition_first,metric_rank_last,metric_trace_last
breast_cancer,ryrz_cz,AQNG,0,6,3,36,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,1.259105629436833,0.4666666666666667,1.225360688386946,0.45,12.251680985000007,10.927286593999952,1.3189137900000103,0.0017259709998143,10,40,160,29,16.466452200687304,592914.6431063353,2045.244465666081,30,14.416850663783515
breast_cancer,ryrz_cz,Full-QNG,0,6,3,36,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,0.8292820451970399,0.6666666666666666,0.7729010725570931,0.65,132.980434322,131.63441414400006,1.3396470449999924,0.0019622679999997,10,40,160,35,26.16898278923189,3399.6063633082927,2169.913279913029,36,27.26564152789336
breast_cancer,ryrz_cz,AQNG,1,6,3,36,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,0.6033039504111326,0.85,0.5096348317258839,0.85,11.13414630399999,9.921668697,1.2057447499999654,0.0022839520000061,10,40,160,30,17.050462339705387,24939002.492281888,2630.7558064317764,30,14.10549070685983
breast_cancer,ryrz_cz,Full-QNG,1,6,3,36,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,0.7171666549543576,0.7,0.6972024906118843,0.65,118.922839227,117.68982552999996,1.2260303180000278,0.0022803819999666,10,40,160,36,25.2980252049384,21374.36488860845,2358.8063007494147,35,28.23055699058049
breast_cancer,ryrz_cz,AQNG,2,6,3,36,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,0.6132560929224294,0.8833333333333333,0.4977585405151418,1.0,9.42989564100003,8.34018464999997,1.0833621380000409,0.0023033820000932,10,40,160,28,16.56681970218292,1384628.3116736524,2106.868119700319,30,14.14355433409177
breast_cancer,ryrz_cz,Full-QNG,2,6,3,36,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,1.4485622047498268,0.4833333333333333,1.5792685720487512,0.5,103.46617107999998,102.31659856100008,1.1429270930001394,0.0021999339999752,10,40,160,35,25.37347136924565,2929161.029242276,2128.737300012901,36,27.03394502266334
breast_cancer,ryrz_cz,AQNG,3,6,3,36,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,0.911780099707564,0.6333333333333333,0.8994504740951251,0.65,12.428237355999954,11.073100804999854,1.3489340590001575,0.0021136589999741,10,40,160,30,16.77570385797816,97049557.8997373,2141.838745280302,28,14.69877199669482
breast_cancer,ryrz_cz,Full-QNG,3,6,3,36,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,1.0214777762783105,0.5666666666666667,1.0468020032748269,0.55,133.16808793999996,131.80661815999974,1.3547604589999764,0.0020729820004135,10,40,160,36,27.35746531342016,230626.0264096628,2435.3297573600166,36,26.053811441242733
breast_cancer,ryrz_cz,AQNG,4,6,3,36,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,1.7655867410435495,0.4666666666666667,1.8729653850835424,0.45,12.076569654999986,10.70361899200006,1.3672983830000192,0.0018375119999802,10,40,160,27,16.369359893734845,58599609.7516022,2082.086945095209,29,15.376921806238885
breast_cancer,ryrz_cz,Full-QNG,4,6,3,36,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,0.8673887652587947,0.6,0.9213663883668924,0.55,128.91301081199998,127.52550040300002,1.38140805900008,0.0018587320000733,10,40,160,35,26.699316437041155,511151.7360170088,2206.7305182758223,36,28.41774515708952
