dataset,family,method,seed,n_qubits,n_layers,n_params,n_samples,train_size,test_size,subset_seed,split_seed,steps,lr,lam,loss_batch,metric_batch,metric_every,readout,readout_feature_count,state_dimension,loss_backend,metric_backend,timing_interpretation,train_loss,train_acc,test_loss,test_acc,total_seconds,metric_seconds,gradient_seconds,solve_seconds,metric_builds,metric_examples_total,loss_examples_total,metric_rank_first,metric_trace_first,metric_condition_first,regularized_metric_condition_first,metric_rank_last,metric_trace_last
breast_cancer,su2_cnot,AQNG,0,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,1.3346146513266357,0.3833333333333333,1.515411574640911,0.35,14.912802758999987,13.184596867000153,1.7212965149998354,0.0025081289997501,10,40,160,44,13.795477646201242,1477.1057042422983,1592.7132271637636,44,11.903340910627657
breast_cancer,su2_cnot,Full-QNG,0,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,0.6096053534973371,0.8333333333333334,0.5062810059216923,0.9,562.41253102,560.7935379620001,1.6115263389998518,0.0024815470002295,10,40,160,50,41.70231235451264,242.3899165024356,2296.632442762411,50,42.93833630182286
breast_cancer,su2_cnot,AQNG,1,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,1.001449805078043,0.55,1.0051252346024642,0.5,13.647690177000015,12.057346126,1.5825809540000648,0.0029199050000556,10,40,160,44,13.846895456195636,3028.3248403099137,1301.7375685266104,44,12.504633586068786
breast_cancer,su2_cnot,Full-QNG,1,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,0.8361159391334123,0.65,0.8676728601654944,0.55,521.382516485,519.9460202309997,1.4282838440000205,0.0028266929999176,10,40,160,50,41.46591668490287,314.28966920081035,2581.6154487008857,50,43.25304333527249
breast_cancer,su2_cnot,AQNG,2,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,1.1112696975637075,0.55,1.136677526601238,0.55,11.33755632399999,10.048008057999937,1.282183669999995,0.0027819390001013,10,40,160,44,13.432298749059337,2097.895547309234,1357.8368715471963,44,10.78109333531844
breast_cancer,su2_cnot,Full-QNG,2,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,0.6925099448450137,0.8,0.6492546321416393,0.7,443.765921706,442.4711132400001,1.2869561759999328,0.0027345309998736,10,40,160,50,43.03117181969531,553.3166183632412,2720.5817327805453,50,42.72946364808936
breast_cancer,su2_cnot,AQNG,3,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,1.048614420272822,0.55,1.0157906809105453,0.55,15.163707208000003,13.412989655000048,1.7432962279999629,0.0027712019999626,10,40,160,44,14.099569533474778,3455.3970821502635,1686.5051999535328,44,10.924289071346996
breast_cancer,su2_cnot,Full-QNG,3,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,0.986794591076205,0.5666666666666667,1.0543466128873944,0.55,564.6445348850001,562.9994095480004,1.6373669580004844,0.002645467000093,10,40,160,50,41.61311513226014,139.68282111817436,2655.810042390967,50,41.77760710381959
breast_cancer,su2_cnot,AQNG,4,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,0.9822501035041185,0.55,0.9849788898812882,0.55,14.62561092300001,12.986269518000029,1.6325235360001216,0.0024725150000222,10,40,160,44,13.180365284825674,2153.597141674213,1467.7963314863796,44,13.816005575484974
breast_cancer,su2_cnot,Full-QNG,4,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,1.0374860892068667,0.6166666666666667,1.087153518475808,0.65,543.408987094,541.769887492,1.6318647630002374,0.0024325880000333,10,40,160,50,42.45131279934317,157.20615939289894,2532.485950793374,50,41.83896803346864
