dataset,family,method,seed,n_qubits,n_layers,n_params,n_samples,train_size,test_size,subset_seed,split_seed,steps,lr,lam,loss_batch,metric_batch,metric_every,readout,readout_feature_count,state_dimension,loss_backend,metric_backend,timing_interpretation,train_loss,train_acc,test_loss,test_acc,total_seconds,metric_seconds,gradient_seconds,solve_seconds,metric_builds,metric_examples_total,loss_examples_total,metric_rank_first,metric_trace_first,metric_condition_first,regularized_metric_condition_first,metric_rank_last,metric_trace_last
breast_cancer,u1_rzxy,AQNG,0,6,3,33,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,2.428287637755981,0.3833333333333333,2.556152370974897,0.35,10.650086070999803,9.6598272130002,0.9846870499998204,0.0017146109992154,10,40,160,21,2.6387850875984187,40555064.30122813,1820.5075269820657,23,2.398085512383098
breast_cancer,u1_rzxy,Full-QNG,0,6,3,33,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,2.4323867854077057,0.3833333333333333,2.5619904716586057,0.35,378.43711397800007,377.4235723529998,1.0071509630001856,0.0019750579999708,10,40,160,25,7.188115047941369,33127831.48458117,2780.8669173752887,25,7.0899175052597085
breast_cancer,u1_rzxy,AQNG,1,6,3,33,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,2.4014927493435985,0.3833333333333333,2.528506092499609,0.35,9.659781821000024,8.775876342000402,0.8776792630003456,0.002113746000532,10,40,160,20,1.5927902655382449,48254580.24407934,968.5334290102976,21,1.92468261332292
breast_cancer,u1_rzxy,Full-QNG,1,6,3,33,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,2.4166554105703493,0.3833333333333333,2.544585829780789,0.35,341.58790297500013,340.606863947,0.9744590500001776,0.0020318390004376,10,40,160,21,6.448580796849237,25481390.559089907,3797.8868925198417,20,6.202379262831308
breast_cancer,u1_rzxy,AQNG,2,6,3,33,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,2.0146198707129988,0.3833333333333333,2.130320388207318,0.35,8.01774642800001,7.255654698999933,0.7561790039992502,0.002164630999232,10,40,160,18,2.9450094916116107,72666925.32846005,2225.8887972207986,22,1.903161573440324
breast_cancer,u1_rzxy,Full-QNG,2,6,3,33,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,2.410088998663384,0.3833333333333333,2.536100900359241,0.35,291.58820757600006,290.8248656889998,0.7569235099997513,0.0021006360004776,10,40,160,23,7.538193582509705,88849939.68664707,3552.828822944084,24,5.788023078080794
breast_cancer,u1_rzxy,AQNG,3,6,3,33,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,2.433952952280004,0.3833333333333333,2.5642725816777063,0.35,11.274636133000058,10.229781607000405,1.038476828999137,0.0021155820013518,10,40,160,19,3.090103322626971,47551915.68879408,2360.739403776868,20,1.2952141439984095
breast_cancer,u1_rzxy,Full-QNG,3,6,3,33,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,2.4378397508793954,0.3833333333333333,2.5682674545628084,0.35,375.61732684100025,374.521898343,1.0887574770003994,0.002076476998809,10,40,160,25,7.24023805552258,85684964.36867623,2977.550365342312,25,5.955865952005254
breast_cancer,u1_rzxy,AQNG,4,6,3,33,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,2.4015655310169417,0.3833333333333333,2.5268961861657164,0.35,10.281328825999935,9.31165454799998,0.9642327260000912,0.001795718999574,10,40,160,20,2.119309875372408,11985854.280482126,1252.099088777696,20,2.407711501610548
breast_cancer,u1_rzxy,Full-QNG,4,6,3,33,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,2.444247319763426,0.3833333333333333,2.5747469218754,0.35,361.2759168519999,360.298650385,0.9714235299995836,0.0018106209995494,10,40,160,23,6.667251345287492,3738907.1658528615,2621.0289155388527,24,6.575727171349158
