dataset,family,method,seed,n_qubits,n_layers,n_params,n_samples,train_size,test_size,subset_seed,split_seed,steps,lr,lam,loss_batch,metric_batch,metric_every,readout,readout_feature_count,state_dimension,loss_backend,metric_backend,timing_interpretation,train_loss,train_acc,test_loss,test_acc,total_seconds,metric_seconds,gradient_seconds,solve_seconds,metric_builds,metric_examples_total,loss_examples_total,metric_rank_first,metric_trace_first,metric_condition_first,regularized_metric_condition_first,metric_rank_last,metric_trace_last
digits01,su2_cnot,AQNG,0,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,0.5364977625544738,0.8166666666666667,0.6544266480684291,0.75,10.24973171099998,9.05783689800012,1.1863463519998731,0.0020363240003007,10,40,160,44,14.496282319930264,2488.959686419479,1184.7134102533562,44,11.553754823264066
digits01,su2_cnot,Full-QNG,0,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,1.1064612635795776,0.5333333333333333,0.7925875867441917,0.65,399.171403916,398.0856660250004,1.079757099000176,0.0019807860004448,10,40,160,50,40.59358043461596,521.7143867298811,2451.141861470917,50,41.07170866021284
digits01,su2_cnot,AQNG,1,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,0.6430922766343397,0.75,0.6133081647550089,0.8,14.780778184999916,13.151736625000126,1.6223899449998953,0.0024651479998283,10,40,160,44,14.398466967235766,4729.092896238458,1376.1906424502508,44,12.354141919260124
digits01,su2_cnot,Full-QNG,1,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,0.7454631005530782,0.7833333333333333,0.6537036384031913,0.8,546.1757441599999,544.5471894389995,1.6215899730000274,0.0023191460001044,10,40,160,50,40.61812830705972,873.4802708781133,2089.1094046653548,50,42.5311392552912
digits01,su2_cnot,AQNG,2,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,0.471148162730322,0.8666666666666667,0.489760783354508,0.85,10.283179064999985,9.136041412999989,1.1416482710000082,0.0020300049999377,10,40,160,44,14.076619588423114,901.91058272111,1548.50519402064,44,10.985116835619694
digits01,su2_cnot,Full-QNG,2,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,0.7097996353770231,0.7833333333333333,0.6416457694248121,0.8,395.444208589,394.30224587999993,1.1359794690000058,0.0019835800000578,10,40,160,50,41.72446747175205,656.5610973920758,2961.5994739701086,50,43.514316499319946
digits01,su2_cnot,AQNG,3,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,0.7078109741677802,0.8166666666666667,0.8625905194857998,0.65,13.22234999699998,11.701169191999838,1.5141645329999278,0.0026046119999136,10,40,160,44,13.929673533873466,1052.5299574166588,1243.3020234721391,44,10.903364280505148
digits01,su2_cnot,Full-QNG,3,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,1.3338281154091345,0.5166666666666667,0.9392891449140166,0.6,580.5911692940001,579.1764806330002,1.4071353160003357,0.0026211309999553,10,40,160,50,40.67926833266721,496.67223210483,2738.69143573948,50,41.527356991880914
digits01,su2_cnot,AQNG,4,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,0.5802170362171701,0.8333333333333334,0.5427368980329028,0.8,15.143215251000017,13.370917892999842,1.7650156149996974,0.002658382000277,10,40,160,44,14.571333559637718,17484.44820666269,1435.4475375069735,44,12.37592528839664
digits01,su2_cnot,Full-QNG,4,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,1.0570945751552323,0.65,1.3918516038528417,0.5,564.0297850039999,562.400358544,1.621717485000204,0.0026461200001222,10,40,160,50,40.53127083113954,390.7418436007089,2934.44775644717,50,45.63214968969351
