dataset,family,method,seed,n_qubits,n_layers,n_params,n_samples,train_size,test_size,subset_seed,split_seed,steps,lr,lam,loss_batch,metric_batch,metric_every,readout,readout_feature_count,state_dimension,loss_backend,metric_backend,timing_interpretation,train_loss,train_acc,test_loss,test_acc,total_seconds,metric_seconds,gradient_seconds,solve_seconds,metric_builds,metric_examples_total,loss_examples_total,metric_rank_first,metric_trace_first,metric_condition_first,regularized_metric_condition_first,metric_rank_last,metric_trace_last
digits01,su2_haar,AQNG,0,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,0.4369300423764301,0.8833333333333333,0.5253849567316518,0.9,15.13578927499998,13.561361310999814,1.5685201359998473,0.0022079409998241,10,40,160,48,11.3239536722918,5012.590043749469,1294.1960320579055,48,11.48801567143535
digits01,su2_haar,Full-QNG,0,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,0.6091848855372437,0.8333333333333334,0.739941198151098,0.85,400.09440044100006,398.4071408039998,1.680857448000097,0.0022155849997034,10,40,160,48,44.84418943966736,1395.2300778739957,3440.586054680954,48,41.84878574894125
digits01,su2_haar,AQNG,1,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,0.4728977136512186,0.9166666666666666,0.4846564240074235,0.85,21.916177917999903,19.49598564500002,2.413416914000436,0.0024158959993201,10,40,160,48,11.554919416995826,4592.620417616789,2184.7084674808125,48,11.079915002013172
digits01,su2_haar,Full-QNG,1,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,0.7889507631413123,0.7166666666666667,1.0859996203848288,0.5,544.234566163,541.8427579060008,2.384563089001176,0.0024609580002561,10,40,160,48,41.97549771380859,685.059070588121,3641.048117463212,48,41.56684670241341
digits01,su2_haar,AQNG,2,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,0.9668658374932132,0.6666666666666666,0.7527669179374035,0.9,14.905729538999935,13.243886615999712,1.6560737839997728,0.0021667970001999,10,40,160,48,10.724275227765418,7820.13141000016,1388.3410302240918,48,12.73664481835416
digits01,su2_haar,Full-QNG,2,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,0.5941939055310943,0.85,0.5408238911098804,0.85,395.752901599,394.1385054109999,1.6083260249999969,0.0021069370002351,10,40,160,48,41.99670186264529,1996.0797593988968,3569.2171710269045,48,42.42982206368424
digits01,su2_haar,AQNG,3,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,0.5291888140122065,0.8833333333333333,0.4337361139973053,0.95,19.36656971299999,17.353312351,2.006140447000007,0.0026217539997333,10,40,160,48,9.079370084839573,6305.498964184551,1008.2210846110028,48,10.281207386015677
digits01,su2_haar,Full-QNG,3,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,0.7167229173289602,0.7833333333333333,0.7606492509392242,0.8,580.035302692,577.8241847950002,2.2034182030004104,0.0027724640001451,10,40,160,48,43.722066063962025,1931.4547892591936,3455.118676420036,48,43.16833100801376
digits01,su2_haar,AQNG,4,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,0.3962489194280395,0.9,0.4495290157217144,0.85,22.026434893999976,19.677718517999665,2.342161755999996,0.0023446379998404,10,40,160,48,12.774311809405877,12817.038242835906,2002.748922368257,48,12.469765268943222
digits01,su2_haar,Full-QNG,4,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,0.5199632807453476,0.8666666666666667,0.4979406994698377,0.9,558.806216487,556.2716151849997,2.527331639000068,0.0025210140004219,10,40,160,48,39.81161662986862,2610.90354441831,3034.9446685145194,48,40.78104056782401
digits01,su2_haar,AQNG,5,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,0.5372640762639873,0.8166666666666667,0.5905841173388546,0.8,22.17037262999997,19.798815032,2.364780182999993,0.0023933880000868,10,40,160,48,9.711275200847398,4864.122556646837,1054.309699135128,48,9.586326004344595
digits01,su2_haar,Full-QNG,5,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,0.5828748420772126,0.85,0.7618119781582633,0.75,556.868462497,554.2936921060002,2.5671390249999604,0.0026310399998692,10,40,160,48,41.65568528012936,946.82493079321,3620.383358766624,48,42.69134954448737
digits01,su2_haar,AQNG,6,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,0.6424831727164176,0.75,0.6985851924915297,0.8,21.419232374999865,19.1209844670002,2.29207414899929,0.0021036590005678,10,40,160,48,9.015114427639718,13404.534573515904,996.4714487226076,48,9.53287914458576
digits01,su2_haar,Full-QNG,6,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,0.9312734467929756,0.6833333333333333,1.0036432351658784,0.5,541.312421571,538.8513060520004,2.454503564999868,0.002141235999943,10,40,160,48,42.43983438610881,6727.177612817013,3385.9060150420773,48,42.11294307321452
digits01,su2_haar,AQNG,7,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,0.4466050892126179,0.8833333333333333,0.570122650662483,0.8,19.083724287999985,16.974042867000094,2.102800001000105,0.0025757180000027,10,40,160,48,9.887375001131526,535362.741715613,1196.196747801088,47,11.509229055774089
digits01,su2_haar,Full-QNG,7,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,0.6067561982807946,0.8166666666666667,0.7609458894829177,0.7,510.53710455,508.4728269889998,2.056805349999649,0.0026587990003008,10,40,160,48,43.29472922102289,134790.8358998888,3730.1913291202345,48,43.66893384445233
digits01,su2_haar,AQNG,8,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,0.4333062628040587,0.9,0.3932951424864904,0.9,13.608748910000031,12.107706435000182,1.4956988009997758,0.0019906579998405,10,40,160,48,11.324716751417805,7596.484350130576,1595.1330844938902,48,12.13432104287595
digits01,su2_haar,Full-QNG,8,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,0.6271349707628046,0.85,0.4731277702740044,0.95,373.527886633,371.9891011770002,1.532354359000351,0.002312707999863,10,40,160,48,42.1661094124688,2102.5793446395983,3625.269889941018,48,41.35234161054424
digits01,su2_haar,AQNG,9,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,0.5497570734932578,0.7833333333333333,0.661530518850914,0.7,19.46595858299997,17.315570360999914,2.143190595999954,0.0027095159999817,10,40,160,48,14.240477758204491,2789.385266429725,1557.7548314881149,48,13.12484084881227
digits01,su2_haar,Full-QNG,9,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,0.8868231091952137,0.6833333333333333,1.1141496678761398,0.4,512.3877027599999,510.320642638,2.0595890409998674,0.0026511980000805,10,40,160,48,39.575441559556495,293.8274952904283,3145.705861245181,48,41.41671304385884
digits01,su2_haar,AQNG,10,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,0.4532691524731017,0.8666666666666667,0.5535065311873069,0.9,15.024081589999923,13.346979935000036,1.671278682999855,0.002158248999649,10,40,160,48,9.776056223209569,910.6208760188142,935.2819327313888,48,10.606020555283196
digits01,su2_haar,Full-QNG,10,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,0.6090292809356488,0.8,0.679584079081546,0.85,397.680572999,396.0664110340001,1.607923962999621,0.0021782309996751,10,40,160,48,41.56273793014564,289.7513002157778,3150.6010185625737,48,41.89554404009024
digits01,su2_haar,AQNG,11,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,0.6028784503465058,0.8166666666666667,0.7223067215520986,0.8,22.13540161900005,19.76950759999977,2.359654545999433,0.0021534609996933,10,40,160,48,9.803731320755864,930.1019911440004,1639.3024195363148,48,9.534624545582089
digits01,su2_haar,Full-QNG,11,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,0.5674860311519184,0.85,0.672164654623882,0.75,555.039722826,552.4832554940002,2.5492802480002865,0.0024806170001738,10,40,160,48,42.57865580463838,203.31162985590333,3903.637308887917,48,40.71134222455108
digits01,su2_haar,AQNG,12,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,0.5316171558241553,0.8666666666666667,0.5338554770725847,0.9,19.294425348000004,17.176251753999964,2.110981626999888,0.0026761450000094,10,40,160,48,11.830254291432167,31009.07119024856,1351.3280456455902,48,12.548234902634494
