dataset,family,method,seed,n_qubits,n_layers,n_params,n_samples,train_size,test_size,subset_seed,split_seed,steps,lr,lam,loss_batch,metric_batch,metric_every,readout,readout_feature_count,state_dimension,loss_backend,metric_backend,timing_interpretation,train_loss,train_acc,test_loss,test_acc,total_seconds,metric_seconds,gradient_seconds,solve_seconds,metric_builds,metric_examples_total,loss_examples_total,metric_rank_first,metric_trace_first,metric_condition_first,regularized_metric_condition_first,metric_rank_last,metric_trace_last
digits01,u1_rzxy,AQNG,0,6,3,33,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,1.972316171225768,0.5,1.9739271095108104,0.5,7.315712973000018,6.637222966000081,0.6740765600000032,0.001473973000202,10,40,160,21,2.4303453333984057,88345854.00797887,1420.6504640786725,20,2.8966064300853773
digits01,u1_rzxy,Full-QNG,0,6,3,33,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,1.978264223350389,0.5,1.980611821820228,0.5,263.93694442900005,263.265852236,0.6661574799998107,0.0015044690001104,10,40,160,25,6.834375366178773,34696802.09816907,2931.9043398851486,25,6.9039757270072135
digits01,u1_rzxy,AQNG,1,6,3,33,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,1.9457659868894577,0.5,1.9632556866794189,0.5,10.353478582000209,9.39506193499983,0.9530675370003792,0.0017143449995273,10,40,160,19,2.1202280850715085,8740232.427924333,1357.3270423285069,24,1.8009929942704548
digits01,u1_rzxy,Full-QNG,1,6,3,33,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,1.959229349721518,0.5,1.9647666285032284,0.5,362.94237929,361.9684350849998,0.9680818249994444,0.0017744749989105,10,40,160,22,6.504075013757272,53012304.73165467,3069.890110518171,24,6.3871301164006855
digits01,u1_rzxy,AQNG,2,6,3,33,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,1.9666966184103805,0.5,1.9662947806752389,0.5,7.221831306000013,6.556409010000039,0.6611176250000881,0.0014401189999944,10,40,160,19,2.501755807912327,90699909.86955684,1647.087690178117,20,2.609170139747934
digits01,u1_rzxy,Full-QNG,2,6,3,33,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,1.9729331935486776,0.5,1.9716527423443264,0.5,261.9338772159999,261.2637058880001,0.6653621530002738,0.0014709520003179,10,40,160,23,7.121618802363048,36991067.38710401,2937.171361813565,24,5.840333080942351
digits01,u1_rzxy,AQNG,3,6,3,33,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,1.9822709726153616,0.5,1.982911785147536,0.5,9.549055958000054,8.675106771999253,0.8681980379999459,0.0019321109991778,10,40,160,20,1.864780458852135,55804717.90614263,1303.792612774896,20,2.201159792704514
digits01,u1_rzxy,Full-QNG,3,6,3,33,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,1.9833865428748283,0.5,1.9835747639435333,0.5,383.4858876630001,382.517871259,0.9614702599999418,0.002088892000529,10,40,160,25,6.275010558922925,79703673.13032086,2686.690586185865,24,6.552419993894416
digits01,u1_rzxy,AQNG,4,6,3,33,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,1.9772540767597264,0.5,1.980203183914379,0.5,10.369228658999871,9.395446735000403,0.96886024000014,0.001529161999997,10,40,160,20,2.186334965970949,24622596.69053208,1525.752501885802,20,2.702879458621701
digits01,u1_rzxy,Full-QNG,4,6,3,33,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,1.9846333520692905,0.5,1.986380629620322,0.5,371.9271808670003,370.8845256429997,1.0369134979996488,0.0017313709995505,10,40,160,23,6.451012446363068,2858834.752794815,2537.693963308667,24,6.663093226077466
digits01,u1_rzxy,AQNG,5,6,3,33,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,1.999589038592789,0.5,1.999578568859388,0.5,10.663190244999896,9.6629988090001,0.9945814780003276,0.0018570909996924,10,40,160,19,2.034904877568961,49803262.54308149,1510.6283152779974,19,2.1819110018644468
