dataset,family,method,seed,n_qubits,n_layers,n_params,n_samples,train_size,test_size,subset_seed,split_seed,steps,lr,lam,loss_batch,metric_batch,metric_every,readout,readout_feature_count,state_dimension,loss_backend,metric_backend,timing_interpretation,train_loss,train_acc,test_loss,test_acc,total_seconds,metric_seconds,gradient_seconds,solve_seconds,metric_builds,metric_examples_total,loss_examples_total,metric_rank_first,metric_trace_first,metric_condition_first,regularized_metric_condition_first,metric_rank_last,metric_trace_last
iris01,ryrz_cz,AQNG,0,6,3,36,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,0.5060603117288252,0.8333333333333334,0.4993015120795258,0.85,11.052663405000004,9.871439734,1.1749725089999714,0.0021350880000099,10,40,160,28,12.576437983951129,12091404.54800717,2097.399477089866,28,12.63286336541316
iris01,ryrz_cz,Full-QNG,0,6,3,36,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,0.8421655295777073,0.7333333333333333,0.7357862103584505,0.7,119.309755433,118.10760152499998,1.195604321000047,0.0021131370000375,10,40,160,35,26.56948060161853,1293127.8702610396,2952.709532994269,36,27.400390391174096
iris01,ryrz_cz,AQNG,1,6,3,36,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,0.4750363640628069,0.8833333333333333,0.4645845133449801,0.85,10.922935908,9.741204025999975,1.1755713040000018,0.0020975679999821,10,40,160,28,16.289618480937442,30306021.168836907,2887.8264159738223,29,13.898330787557168
iris01,ryrz_cz,Full-QNG,1,6,3,36,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,1.0013254786892436,0.6333333333333333,0.6712445269395456,0.75,119.715893131,118.468702362,1.2407396800000043,0.0020381189999909,10,40,160,36,27.483869887054656,1404394.11160193,2904.92229247542,36,25.59715000309508
iris01,ryrz_cz,AQNG,2,6,3,36,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,0.4759639523118831,0.8166666666666667,0.4615675409867803,0.85,10.216346312,9.09599808099999,1.1147700349999212,0.001954875000024,10,40,160,26,16.143029386873273,50433837.02446977,2935.306359571665,28,15.6363140277807
iris01,ryrz_cz,Full-QNG,2,6,3,36,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,0.614945379330541,0.7833333333333333,0.5507481492726285,0.8,114.241058781,113.116451367,1.1188457999998889,0.0019361299999047,10,40,160,35,28.471577324673444,16227392.45539506,2945.226800445452,36,27.00044119089632
iris01,ryrz_cz,AQNG,3,6,3,36,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,0.7366838529564892,0.75,0.778466548011692,0.65,11.031786864999988,9.830220175000022,1.195202848000008,0.0021862859999828,10,40,160,26,15.007767769671366,79685803.66938739,2956.5935774200007,28,15.702040218569298
iris01,ryrz_cz,Full-QNG,3,6,3,36,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,0.7069994385424052,0.7333333333333333,0.7410859078754257,0.7,119.497132879,118.32190827000008,1.1686627370000622,0.0020892359999038,10,40,160,36,27.81772606177102,3441678.000387552,2971.389557526048,36,25.811462731109152
iris01,ryrz_cz,AQNG,4,6,3,36,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,1.7752934304889856,0.2666666666666666,2.392711016864319,0.15,8.993587153,7.994213112000004,0.9933728180000116,0.0021924960000134,10,40,160,23,16.43821349489967,88858266.69697054,2936.387434951586,26,15.455167556669052
iris01,ryrz_cz,Full-QNG,4,6,3,36,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,0.9419431664747796,0.6666666666666666,0.8470942008776559,0.7,100.09333779300002,99.111009662,0.9761062579999872,0.0020569600000612,10,40,160,35,27.83848703347846,84229124.83464845,2953.669655936737,36,25.52469412671405
iris01,ryrz_cz,AQNG,5,6,3,36,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,0.4032072810589548,0.9333333333333332,0.492560920813178,0.9,12.129496023000002,10.809051943000044,1.3147974269999168,0.0018455859999448,10,40,160,26,16.39550325376138,16381374.257722711,2949.0909495678093,27,14.75918312273408
iris01,ryrz_cz,Full-QNG,5,6,3,36,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,1.0389709937492595,0.5833333333333334,0.8396125125292864,0.7,131.84595612399994,130.5215772429998,1.3185063090002132,0.0018119580000188,10,40,160,36,27.25277001645801,2338901.925692182,2964.931025138114,36,26.43839435972032
