dataset,family,method,seed,n_qubits,n_layers,n_params,n_samples,train_size,test_size,subset_seed,split_seed,steps,lr,lam,loss_batch,metric_batch,metric_every,readout,readout_feature_count,state_dimension,loss_backend,metric_backend,timing_interpretation,train_loss,train_acc,test_loss,test_acc,total_seconds,metric_seconds,gradient_seconds,solve_seconds,metric_builds,metric_examples_total,loss_examples_total,metric_rank_first,metric_trace_first,metric_condition_first,regularized_metric_condition_first,metric_rank_last,metric_trace_last
iris01,su2_cnot,AQNG,0,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,0.425756792542127,0.8833333333333333,0.4605349563718391,0.8,13.69768448800002,12.098463167999997,1.5917353300000627,0.0028142779999882,10,40,160,42,11.966380509581946,80055.6178666273,1494.753306236023,41,13.0438166931211
iris01,su2_cnot,Full-QNG,0,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,0.2945202966501144,0.9166666666666666,0.3967693319406398,0.9,518.6207707589999,517.173468556,1.4393493419997585,0.0028010409997705,10,40,160,48,44.471764229226025,8867.505061804934,3473.387714890023,48,43.73739069377249
iris01,su2_cnot,AQNG,1,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,0.5577678636200551,0.9,0.6796608051343366,0.75,13.294289309999982,11.821139296000013,1.4658817230000238,0.0027560300000004,10,40,160,42,12.517191503561486,177613.5180369455,1948.27563185188,42,12.14289416270844
iris01,su2_cnot,Full-QNG,1,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,0.3177767324855267,0.9166666666666666,0.403849620923088,0.85,515.989099267,514.5030427469999,1.4782864710001036,0.0027069709998386,10,40,160,48,43.75964909445344,11440.15889114999,3315.285388125317,48,44.00394383176313
iris01,su2_cnot,AQNG,2,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,0.2333980968757111,0.95,0.3813973725304366,0.9,12.219263617999983,10.790731283000042,1.421807790000031,0.0026382720000128,10,40,160,42,12.625897082616037,2222936.2062976053,2126.864874727234,42,9.66478772158148
iris01,su2_cnot,Full-QNG,2,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,0.4342149210024679,0.85,0.5245091014002696,0.85,492.181449363,490.8444342840003,1.3300019319998455,0.0025537030001601,10,40,160,48,43.66528387962488,707910.9587884299,3871.066971641395,48,44.29433707722339
iris01,su2_cnot,AQNG,3,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,0.2861545276099881,0.9333333333333332,0.3639502971089107,0.9,13.944667691000006,12.303432331000067,1.633289590999766,0.0029395799998042,10,40,160,42,13.597359614204546,131039.57517308308,2115.2002751304867,42,10.475140742339123
iris01,su2_cnot,Full-QNG,3,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,0.4864938806570304,0.8333333333333334,0.6738332393288136,0.7,522.752110194,521.326441814,1.4176381169998535,0.0027710539998793,10,40,160,48,43.3732635689301,2738.3710501510222,3533.4788968640446,48,44.04305885808241
iris01,su2_cnot,AQNG,4,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,0.44853593885483,0.9666666666666668,0.4947037270893889,0.95,10.882979317000007,9.605676538999944,1.2702798729999358,0.0027850699999873,10,40,160,42,12.390895842242609,739675.2796006011,1795.2390740414744,42,11.046126388174203
iris01,su2_cnot,Full-QNG,4,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,0.3772544197625629,0.9166666666666666,0.5015866861425511,0.8,430.43089795800006,429.2386959500002,1.1846254060000945,0.0027094339998825,10,40,160,48,43.80631758074912,27699.845799424984,3229.8567736618324,48,44.79612995849655
