dataset,family,method,seed,n_qubits,n_layers,n_params,n_samples,train_size,test_size,subset_seed,split_seed,steps,lr,lam,loss_batch,metric_batch,metric_every,readout,readout_feature_count,state_dimension,loss_backend,metric_backend,timing_interpretation,train_loss,train_acc,test_loss,test_acc,total_seconds,metric_seconds,gradient_seconds,solve_seconds,metric_builds,metric_examples_total,loss_examples_total,metric_rank_first,metric_trace_first,metric_condition_first,regularized_metric_condition_first,metric_rank_last,metric_trace_last
iris01,su2_haar,AQNG,0,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,0.1873441702833876,1.0,0.2611230588404151,1.0,19.797993092999945,17.749370079000073,2.041290143000083,0.0027411819999088,10,40,160,42,12.008317727556571,677.014890561814,1740.351135534324,42,12.920459588694127
iris01,su2_haar,Full-QNG,0,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,0.4748053674298853,0.95,0.6720224235322221,0.7,515.944913533,513.748947469,2.188170563999733,0.0027434519998905,10,40,160,42,44.05250667421422,205.08594059815124,4502.356575975175,42,44.08896734635833
iris01,su2_haar,AQNG,1,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,0.2076989360916357,0.9833333333333332,0.2546404880615853,1.0,19.519802881000032,17.35837549599978,2.154100039999776,0.0028017020000561,10,40,160,42,11.883994823164668,3843.374397843868,1567.604443937906,42,12.083088465436896
iris01,su2_haar,Full-QNG,1,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,0.2515272759194015,0.9833333333333332,0.3191212367449475,0.95,515.002897896,512.8944993879996,2.100596745999951,0.0027818930002467,10,40,160,42,40.23254646878497,976.5784137958595,3831.8480365873743,42,40.18203339746125
iris01,su2_haar,AQNG,2,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,0.2173718351098542,0.9833333333333332,0.3249891526270302,1.0,18.22589451600004,16.28617208100013,1.9329664090003007,0.0026718010001332,10,40,160,42,10.761629586336609,9577.221938747369,1756.18894530458,42,11.010257439201167
iris01,su2_haar,Full-QNG,2,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,0.609367770415205,0.8,0.7070907521063352,0.75,490.277560631,488.1900692609999,2.080440217000273,0.0026448590000427,10,40,160,42,40.52834967925701,1689.1870052116724,3581.380868033799,42,41.756151392310464
iris01,su2_haar,AQNG,3,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,0.2381625008793733,0.9666666666666668,0.2803231534140598,1.0,19.62855841600004,17.61062296299974,2.010534710999991,0.0027894419997664,10,40,160,42,8.465247294990169,90118.51926224367,1184.3402331360387,42,11.161564773719638
iris01,su2_haar,Full-QNG,3,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,0.645241345781405,0.7666666666666667,0.5809327280718207,0.85,514.8454568239999,512.6086366000001,2.2290173839994623,0.0027583309999954,10,40,160,42,44.35856303095485,32683.13684466165,4182.479404458381,42,43.84855157623071
iris01,su2_haar,AQNG,4,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,0.2348482630914165,0.9833333333333332,0.2701386339548652,0.9,16.109895101999996,14.419627988999878,1.6831244300001345,0.0027738459998545,10,40,160,42,12.328793270384782,83006.1464756474,2339.0804509288814,42,12.701164060305205
iris01,su2_haar,Full-QNG,4,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,0.6002499051607665,0.8333333333333334,0.8386291567440416,0.7,428.33842043,426.4719391100002,1.8590194209999709,0.0026993139999831,10,40,160,42,39.83131524536705,8145.204603126509,3447.546939642553,42,41.01272290050965
