dataset,family,method,seed,n_qubits,n_layers,n_params,n_samples,train_size,test_size,subset_seed,split_seed,steps,lr,lam,loss_batch,metric_batch,metric_every,readout,readout_feature_count,state_dimension,loss_backend,metric_backend,timing_interpretation,train_loss,train_acc,test_loss,test_acc,total_seconds,metric_seconds,gradient_seconds,solve_seconds,metric_builds,metric_examples_total,loss_examples_total,metric_rank_first,metric_trace_first,metric_condition_first,regularized_metric_condition_first,metric_rank_last,metric_trace_last
iris01,u1_rzxy,AQNG,0,6,3,33,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,1.9567282380985789,0.5,1.952678141800528,0.5,9.54782873299996,8.644633036999949,0.897267124999189,0.0019838929999878,10,40,160,21,3.4734654097407534,98397037.91488709,2735.4104215892125,21,3.0903014338627104
iris01,u1_rzxy,Full-QNG,0,6,3,33,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,1.9769083001683363,0.5,1.975484768452988,0.5,342.8204853330001,341.92927633799945,0.8847315249993244,0.0020321500003319,10,40,160,25,8.056755450022392,87123002.23167096,3316.4037699932355,24,8.558080218747532
iris01,u1_rzxy,AQNG,1,6,3,33,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,1.898577624223544,0.5,1.8857676377448267,0.5,9.39658600100006,8.525845016000176,0.8649841140002081,0.001955665999958,10,40,160,19,2.293262689933276,4754400.300968403,1814.463091458537,22,2.1859414791875325
iris01,u1_rzxy,Full-QNG,1,6,3,33,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,1.9404735269997004,0.5,1.935435435235597,0.5,339.22126566500015,338.3409094059998,0.8740684300000794,0.0019566749990644,10,40,160,21,6.136216686459038,39624520.50314012,3581.0020931211257,22,6.37865603129911
iris01,u1_rzxy,AQNG,2,6,3,33,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,1.95611292029166,0.5,1.954071195424704,0.5,8.754060508000066,7.93067732200052,0.8181474290001916,0.0017513650007003,10,40,160,17,3.508835111844689,85959513.34144507,2669.727975442285,20,3.2944259985487627
iris01,u1_rzxy,Full-QNG,2,6,3,33,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,1.9743552628289087,0.5,1.9742706210649268,0.5,324.6121339609999,323.74660179800003,0.860010221000266,0.0017605619998448,10,40,160,22,7.942708130212802,49236816.31961462,3142.959908401685,21,8.009107985429772
iris01,u1_rzxy,AQNG,3,6,3,33,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,1.9817959839149069,0.5,1.9814703581071964,0.5,9.70442555600016,8.824211062000131,0.8739121150001665,0.0021143229996596,10,40,160,17,3.1487503902571485,91528188.41587286,2746.719514399058,21,3.108777158058861
iris01,u1_rzxy,Full-QNG,3,6,3,33,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,1.983301237008775,0.5,1.983110583554365,0.5,341.083953891,340.12828173499975,0.9490678629995272,0.0020683389996065,10,40,160,23,6.181250009088704,32204594.394656204,2989.422606260241,26,6.149112378099707
iris01,u1_rzxy,AQNG,4,6,3,33,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,1.985404108245787,0.5,1.985226115221936,0.5,7.784651996000093,7.058959929999901,0.7201892999996744,0.0019480429996292,10,40,160,19,3.1873384610050834,37650621.74987193,2726.564205550634,20,3.1423006485818457
iris01,u1_rzxy,Full-QNG,4,6,3,33,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,1.988371552419561,0.5,1.988387060835501,0.5,282.7231323619999,281.947981434,0.7690467109996462,0.0019504100000631,10,40,160,23,7.615525469928521,13596261.849536916,2994.3192716774984,23,7.577992835986956
iris01,u1_rzxy,AQNG,5,6,3,33,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,1.9995325996967044,0.5,1.999529057636226,0.5,10.465582020999818,9.4854698179995,0.975035500000331,0.0016174420004517,10,40,160,17,2.490569825198946,7015206.534416779,2253.518869927382,19,2.0681110122075914
iris01,u1_rzxy,Full-QNG,5,6,3,33,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,1.999544660642728,0.5,1.9995414460567955,0.5,371.013398826,369.9716866890005,1.036132697000312,0.0016646509998281,10,40,160,22,6.450805443963612,41746666.00820492,3229.8632831604755,22,6.3254092649107925
