dataset,family,method,seed,n_qubits,n_layers,n_params,n_samples,train_size,test_size,subset_seed,split_seed,steps,lr,lam,loss_batch,metric_batch,metric_every,readout,readout_feature_count,state_dimension,loss_backend,metric_backend,timing_interpretation,train_loss,train_acc,test_loss,test_acc,total_seconds,metric_seconds,gradient_seconds,solve_seconds,metric_builds,metric_examples_total,loss_examples_total,metric_rank_first,metric_trace_first,metric_condition_first,regularized_metric_condition_first,metric_rank_last,metric_trace_last
wine01,su2_haar,AQNG,0,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,0.5441907547994373,0.85,0.8206614737761188,0.65,19.547897081999963,17.50884921099987,2.031850396999971,0.002712090999239,10,40,160,48,12.125612428889887,5548.413115409019,1288.2644548892968,48,12.779588581507108
wine01,su2_haar,Full-QNG,0,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,0.939830749804114,0.7166666666666667,1.1065859806962508,0.45,514.0259527769999,511.8858861739998,2.1325076589994296,0.0026946830000724,10,40,160,48,41.49518850004706,1121.0824963575365,3656.834057475017,48,44.021648539271055
wine01,su2_haar,AQNG,1,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,0.6165120858126193,0.8333333333333334,0.4802406993439529,0.9,19.473787561999984,17.443882470000176,2.0228781340000523,0.0026443590002145,10,40,160,48,10.519014057693196,5375.29912416263,1543.9187793638855,48,11.18760560142395
wine01,su2_haar,Full-QNG,1,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,0.8182361699728438,0.6666666666666666,0.5829203490483285,0.9,514.9340669830001,512.7142946619999,2.212101638999912,0.0027009580001049,10,40,160,48,42.9402012391545,572.6236909834905,3694.527580640065,48,41.08297272362712
wine01,su2_haar,AQNG,2,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,0.4946006239372112,0.85,0.5852149514711362,0.8,18.975617251999893,16.877055766999774,2.091022880999958,0.0027856319999273,10,40,160,48,10.372893011080215,9616.30889905589,1568.8507813175895,48,10.54077030552036
wine01,su2_haar,Full-QNG,2,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,0.5844223056504797,0.8166666666666667,0.4799723403751166,0.85,499.867940843,497.8157068400002,2.044568438000624,0.0028061470001148,10,40,160,48,42.518078162583166,2475.790299239192,3781.095757975428,48,42.79392327410191
wine01,su2_haar,AQNG,3,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,0.5286285314002496,0.9,0.6882731643661575,0.8,21.451423611,19.154144890000225,2.2916034089997765,0.0019591189999346,10,40,160,48,9.701535349354844,3787.832595518137,967.2791504535788,48,10.097107146780408
wine01,su2_haar,Full-QNG,3,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,0.8362244867534631,0.7833333333333333,0.7309148535694322,0.9,539.48277528,537.0316153999999,2.444602932999942,0.0021249759998909,10,40,160,48,43.42226572815204,1639.7500398764982,3503.320677164736,48,43.84126212448013
wine01,su2_haar,AQNG,4,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,0.6571591915734898,0.75,0.6311131598812191,0.75,15.03431708000005,13.475298836000093,1.5531621880003286,0.0021764940000821,10,40,160,48,10.682700880828794,14529.773133736742,1529.5969949179632,48,11.547584106898576
wine01,su2_haar,Full-QNG,4,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,1.4211754092916271,0.3333333333333333,1.40582332148046,0.35,395.0648474110001,393.31796324799984,1.7405398480002532,0.0021901329998854,10,40,160,48,42.48797682733153,3282.7544598301656,3675.873649388435,48,40.26881682528623
wine01,su2_haar,AQNG,5,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,0.6875826795730416,0.7666666666666667,0.7063456023074812,0.75,19.48179369000013,17.45564938199982,2.018993118999333,0.0027336630000718,10,40,160,48,11.135888275061909,734.3388182566263,1183.2518604829795,48,10.58020950253892
wine01,su2_haar,Full-QNG,5,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,0.7364767561407134,0.8,1.0838715709065518,0.55,510.989409516,508.756246721,2.225433092000003,0.0027889859995866,10,40,160,48,41.01564485787263,218.82490679005764,2902.1175939804,48,40.69602686804912
wine01,su2_haar,AQNG,6,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,0.5649442960702248,0.9166666666666666,0.6132781339399436,0.85,22.394459848999983,20.01140293800006,2.3757870549999325,0.0026591429999598,10,40,160,48,9.351784802084556,11234.781317986644,1127.0899956113722,48,10.28251287211808
wine01,su2_haar,Full-QNG,6,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,0.8206996922830263,0.6666666666666666,0.6854733635096786,0.9,556.275775638,553.7254325049998,2.543206089999785,0.0024511900002153,10,40,160,48,41.45760070441524,2544.4161374413734,3356.0456636780104,48,41.93468741030632
wine01,su2_haar,AQNG,7,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,0.785241153266704,0.7166666666666667,0.7747202712217895,0.7,21.70421582000006,19.27143542099998,2.426415950999967,0.0022060679997366,10,40,160,48,9.80800244314498,12222.420035993146,1386.1399021233135,48,11.220510504468376
wine01,su2_haar,Full-QNG,7,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,0.9060463763484534,0.6,0.9600822038131384,0.6,540.756645609,538.3634245509998,2.386496208999688,0.0022126269994942,10,40,160,48,41.6611922671168,3371.0135039076104,3720.25775715264,48,41.857020001966326
wine01,su2_haar,AQNG,8,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,0.6771136665785756,0.7833333333333333,0.718653185317153,0.65,15.157499355000027,13.473863652000093,1.6777473180000015,0.0021687690000362,10,40,160,48,10.46715267227318,5625.65289817273,1349.1363168805824,48,11.116859137319231
wine01,su2_haar,Full-QNG,8,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,0.9257195177985482,0.6333333333333333,0.9782222175058954,0.65,405.2775016,403.6074367900002,1.6635602100000142,0.0022214939999685,10,40,160,48,41.05387120415742,1779.507057205289,2998.7907446642944,48,41.79368772098783
wine01,su2_haar,AQNG,9,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,0.5998139591513252,0.85,0.6186182115924893,0.9,14.99392308900019,13.42957441700014,1.5585875840006338,0.0021391309996943,10,40,160,48,12.598728240701698,33462.41204636956,1474.2026292166315,48,12.349422258921177
wine01,su2_haar,Full-QNG,9,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,0.5468239195958196,0.8333333333333334,0.5192806906757206,0.9,397.84174903099984,396.1043730289998,1.7311030650000705,0.00215439200133,10,40,160,48,40.1275934444156,3660.995201340179,3440.0028792917465,48,41.55576148305888
wine01,su2_haar,AQNG,10,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,0.5257524546486083,0.8833333333333333,0.6012958374910666,0.8,22.03340674599997,19.5325078479998,2.493851380000251,0.0025503270003355,10,40,160,48,11.512026893899344,952.7785081758866,1459.5699215342436,48,10.187095815771238
wine01,su2_haar,Full-QNG,10,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,0.7426843220826699,0.75,0.6612952417617464,0.85,557.414323036,554.972172421,2.434902217000513,0.0024887169996645,10,40,160,48,40.75053762331815,213.64061987090776,3086.45186060932,48,41.42813262377576
wine01,su2_haar,AQNG,11,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,0.6658461974224233,0.8,0.7559397943806039,0.8,21.922155576000023,19.50357562100009,2.4117982219997884,0.0024377839998805,10,40,160,48,10.391249684332156,1291.520419506291,1089.0359599723265,48,10.083988022426784
wine01,su2_haar,Full-QNG,11,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,default.qubit,backend_specific_implementation_wall_clock,0.8258961575568259,0.6666666666666666,0.8291881476312144,0.75,559.2794692219999,556.8842128539997,2.388177658000245,0.0023837060008418,10,40,160,48,41.87326155913959,605.2866237113608,3181.676752774851,48,41.57454111279748
wine01,su2_haar,AQNG,12,6,3,54,80,60,20,1729,314159,20,0.03,0.001,8,4,2,Z<=2,21,64,lightning.qubit,lightning.qubit,backend_specific_implementation_wall_clock,0.5214309039371865,0.8833333333333333,0.5577652334252099,0.8,22.78760401600005,20.36333609199994,2.416944052999952,0.0026450650002516,10,40,160,48,11.672380656292331,19283.860215152912,1558.987300064269,48,11.471611794013786
