dataset,family,n_pairs,delta_loss_mean_AQNG_minus_QNG,delta_loss_median_AQNG_minus_QNG,delta_loss_ci95_lo,delta_loss_ci95_hi,AQNG_loss_win_rate,delta_accuracy_mean_AQNG_minus_QNG,implemented_runtime_speedup_QNG_over_AQNG_mean,implemented_runtime_speedup_QNG_over_AQNG_median,runtime_interpretation,wilcoxon_p,wilcoxon_p_holm,reject_0p05_holm
iris01,ryrz_cz,20,0.16162104592401239,-0.0788664510555564,-0.06736349955932706,0.43366580039715763,0.6,-0.049999999999999975,10.874537298566342,10.827437515059565,backend_specific_implementation_wall_clock,0.8123550415039062,1.0,False
iris01,su2_cnot,20,-0.12298307939217576,-0.15557163517827347,-0.21761526382650814,-0.02766515448860625,0.7,0.07249999999999998,38.4435271644672,38.1187131172844,backend_specific_implementation_wall_clock,0.021484375,0.171875,False
iris01,su2_haar,20,-0.22191034278345817,-0.20376427620780785,-0.3003804259463072,-0.1453641281288123,0.95,0.0825,25.900752155997303,25.88360664865292,backend_specific_implementation_wall_clock,8.20159912109375e-05,0.00098419189453125,True
iris01,u1_rzxy,20,-0.010096856011633714,-0.003049862635243872,-0.016368182450806148,-0.004751488788257505,1.0,0.0,35.81338036583621,35.82475883474216,backend_specific_implementation_wall_clock,1.9073486328125e-06,3.0517578125e-05,True
breast_cancer,ryrz_cz,20,-0.263437622553989,-0.24950780064262829,-0.49053696756527365,-0.025386280361422098,0.7,0.11249999999999998,10.853416180219629,10.878996461679913,backend_specific_implementation_wall_clock,0.04844093322753906,0.2422046661376953,False
breast_cancer,su2_cnot,20,0.05430450959797324,-0.03690412517393388,-0.053873640779152264,0.1947630334436722,0.6,-0.005000000000000002,38.22512508735707,38.06535964979709,backend_specific_implementation_wall_clock,1.0,1.0,False
breast_cancer,su2_haar,20,-0.1313450263629075,-0.11818857954723161,-0.23394865810180893,-0.01989275462822258,0.75,0.0975,25.724541619825242,25.399418144818732,backend_specific_implementation_wall_clock,0.039989471435546875,0.23993682861328125,False
breast_cancer,u1_rzxy,20,-0.03704906246236228,-0.005941294403084552,-0.08329172444780933,-0.006917701026792765,1.0,0.0,35.731585962255636,35.70114405403084,backend_specific_implementation_wall_clock,1.9073486328125e-06,3.0517578125e-05,True
wine01,ryrz_cz,20,-0.3976423123349747,-0.5112724913955079,-0.646126725180059,-0.10236634497648368,0.85,0.175,10.807585851608867,10.824904583763217,backend_specific_implementation_wall_clock,0.0072956085205078125,0.06566047668457031,False
wine01,su2_cnot,20,-0.030387873477838077,-0.01942889227013289,-0.19766273038473284,0.13198500045822253,0.55,0.07749999999999999,38.17351979768428,38.280413816681836,backend_specific_implementation_wall_clock,0.7561664581298828,1.0,False
wine01,su2_haar,20,-0.21731166444227235,-0.1199149768203489,-0.3335330659660793,-0.10707157900886558,0.8,0.0975,25.712075554970085,25.87056978604779,backend_specific_implementation_wall_clock,0.0007076263427734375,0.007076263427734375,True
wine01,u1_rzxy,20,-0.005018665835163261,-0.0033996913780702798,-0.007484999545237195,-0.002946391049958718,1.0,0.0,35.42989492200993,35.646638795255114,backend_specific_implementation_wall_clock,1.9073486328125e-06,3.0517578125e-05,True
digits01,ryrz_cz,20,0.14482578986072148,0.09918657158133673,-0.0432689132501147,0.34992800733531854,0.4,-0.1125,10.972474765417612,10.961610671183081,backend_specific_implementation_wall_clock,0.20244979858398438,0.8097991943359375,False
digits01,su2_cnot,20,-0.2320388248596425,-0.14502296237303336,-0.3470085773419221,-0.12903077767032403,0.9,0.10250000000000004,38.674872037574595,38.79450073740101,backend_specific_implementation_wall_clock,0.000133514404296875,0.001468658447265625,True
digits01,su2_haar,20,-0.08758297433006516,-0.14865270435682393,-0.22097853458249134,0.07876997855951935,0.8,0.0425,26.282144150469833,26.451604546617283,backend_specific_implementation_wall_clock,0.03276824951171875,0.22937774658203125,False
digits01,u1_rzxy,20,-0.0030612693630931997,-0.0008299094484809366,-0.005472916440320541,-0.001329720140891034,1.0,0.0,36.107009403032855,36.084363942534225,backend_specific_implementation_wall_clock,1.9073486328125e-06,3.0517578125e-05,True
