dataset,family,seed,n_qubits,n_layers,readout_order,shots,alignment_ids,alignment_tangents,alignment_eval_tangents,physical_rank,centered_score_dimension,rank_baseline,reference_support_size,empirical_nonzero_support_size,support_policy,support_pseudocount,calibration_finite_shot,calibration_executions,calibration_shots,physical_heldout_retention,physical_heldout_rho,aligned_crossfit_heldout_retention,aligned_crossfit_heldout_rho,random_rank_heldout_retention,random_rank_heldout_rho,source_artifact
iris01,su2_haar,0,6,5,1,,"[1, 3, 11, 20]",64,64,6,63,0.0952380952380952,64,64,full_basis,0.5,False,0,0,0.1063853334299664,1.1170460010146472,0.2566999040794401,2.695348992834121,0.1079666695902702,1.1336500306978377,paper-run-baselines-depth-su2_haar-L5-s0
iris01,su2_haar,1,6,5,1,,"[18, 23, 29, 30]",64,64,6,63,0.0952380952380952,64,64,full_basis,0.5,False,0,0,0.1744296258703401,1.831511071638572,0.3245001396890348,3.407251466734866,0.0957606072524996,1.0054863761512467,paper-run-baselines-depth-su2_haar-L5-s1
iris01,su2_haar,2,6,5,1,,"[16, 24, 26, 33]",64,64,6,63,0.0952380952380952,64,64,full_basis,0.5,False,0,0,0.1179607237874314,1.2385875997680302,0.2421586572424065,2.542665901045269,0.104798417073951,1.1003833792764863,paper-run-baselines-depth-su2_haar-L5-s2
iris01,su2_haar,3,6,5,1,,"[15, 33, 34, 40]",64,64,6,63,0.0952380952380952,64,64,full_basis,0.5,False,0,0,0.1139330889340695,1.1962974338077303,0.2528982417541309,2.6554315384183758,0.1016969019168139,1.0678174701265466,paper-run-baselines-depth-su2_haar-L5-s3
iris01,su2_haar,4,6,5,1,,"[3, 9, 10, 15]",64,64,6,63,0.0952380952380952,64,64,full_basis,0.5,False,0,0,0.2335212840199931,2.451973482209928,0.3202567352405834,3.362695720026126,0.1021942105046479,1.0730392102988038,paper-run-baselines-depth-su2_haar-L5-s4
iris01,su2_haar,0,10,3,1,,"[1, 3, 11, 20]",64,64,10,1023,0.0097751710654936,1024,1024,full_basis,0.5,False,0,0,0.1450212865715738,14.835677616272,0.2546206477572463,26.0476922655663,0.0089636896800879,0.9169854542729996,paper-run-baselines-scaling-su2_haar-n10-s0
iris01,su2_haar,1,10,3,1,,"[18, 23, 29, 30]",64,64,10,1023,0.0097751710654936,1024,1024,full_basis,0.5,False,0,0,0.1540447361945083,15.7587765126982,0.3187530395285776,32.608435943773486,0.0091215832994074,0.9331379715293836,paper-run-baselines-scaling-su2_haar-n10-s1
iris01,su2_haar,2,10,3,1,,"[16, 24, 26, 33]",64,64,10,1023,0.0097751710654936,1024,1024,full_basis,0.5,False,0,0,0.1815405616929836,18.57159946119222,0.2461734212692526,25.18354099584454,0.009643842660103,0.9865651041285396,paper-run-baselines-scaling-su2_haar-n10-s2
iris01,su2_haar,3,10,3,1,,"[15, 33, 34, 40]",64,64,10,1023,0.0097751710654936,1024,1024,full_basis,0.5,False,0,0,0.1671581362324844,17.100277336583158,0.3072601399185732,31.432712313670045,0.0105541246112209,1.079686947727902,paper-run-baselines-scaling-su2_haar-n10-s3
iris01,su2_haar,4,10,3,1,,"[3, 9, 10, 15]",64,64,10,1023,0.0097751710654936,1024,1024,full_basis,0.5,False,0,0,0.2285665314268662,23.382356164968414,0.371486796443485,38.00309927616851,0.0101169494180613,1.034963925467681,paper-run-baselines-scaling-su2_haar-n10-s4
iris01,su2_haar,0,8,3,1,,"[1, 3, 11, 20]",64,64,8,255,0.0313725490196078,256,256,full_basis,0.5,False,0,0,0.1384924437822712,4.414446645559897,0.3050807891265905,9.724450153410071,0.0328988701243235,1.0486514852128117,paper-run-baselines-scaling-su2_haar-n8-s0
iris01,su2_haar,1,8,3,1,,"[18, 23, 29, 30]",64,64,8,255,0.0313725490196078,256,256,full_basis,0.5,False,0,0,0.2505219823090003,7.985388186099385,0.3826414470252128,12.19669612392866,0.0347335307427473,1.107131292425071,paper-run-baselines-scaling-su2_haar-n8-s1
iris01,su2_haar,2,8,3,1,,"[16, 24, 26, 33]",64,64,8,255,0.0313725490196078,256,256,full_basis,0.5,False,0,0,0.1743733095802318,5.55814924286989,0.3338685261471841,10.642059270941491,0.0298029878437818,0.9499702375205454,paper-run-baselines-scaling-su2_haar-n8-s2
iris01,su2_haar,3,8,3,1,,"[15, 33, 34, 40]",64,64,8,255,0.0313725490196078,256,256,full_basis,0.5,False,0,0,0.2089120072965848,6.659070232578641,0.353949045663533,11.282125830525116,0.0311158491141367,0.9918176905131092,paper-run-baselines-scaling-su2_haar-n8-s3
iris01,su2_haar,4,8,3,1,,"[3, 9, 10, 15]",64,64,8,255,0.0313725490196078,256,256,full_basis,0.5,False,0,0,0.241140161171744,7.686342637349342,0.3543752067090065,11.295709713849584,0.0339649725611134,1.082633500385492,paper-run-baselines-scaling-su2_haar-n8-s4
