dataset,family,seed,n_qubits,n_layers,readout_order,shots,alignment_ids,alignment_tangents,alignment_eval_tangents,physical_rank,centered_score_dimension,rank_baseline,reference_support_size,empirical_nonzero_support_size,support_policy,support_pseudocount,calibration_finite_shot,calibration_executions,calibration_shots,physical_heldout_retention,physical_heldout_rho,aligned_crossfit_heldout_retention,aligned_crossfit_heldout_rho,random_rank_heldout_retention,random_rank_heldout_rho,paper_tag
wine01,ryrz_cz,8,6,3,1,,"[18, 28, 31, 44]",64,64,6,63,0.09523809523809523,64,64,full_basis,0.5,False,0,0,0.3335590198612847,3.50236970854349,0.3567943875136821,3.746341068893662,0.08211213575321082,0.8621774254087136,paper-run-primary-a-wine01-ryrz_cz-s8
wine01,ryrz_cz,19,6,3,1,,"[13, 24, 29, 40]",64,64,6,63,0.09523809523809523,64,64,full_basis,0.5,False,0,0,0.3758137711542343,3.9460445971194607,0.4206446173134267,4.416768481790981,0.08599621540544948,0.9029602617572196,paper-run-primary-b-wine01-ryrz_cz-s19
wine01,su2_haar,3,6,3,1,,"[15, 33, 34, 40]",64,64,6,63,0.09523809523809523,64,64,full_basis,0.5,False,0,0,0.18369228389639505,1.9287689809121482,0.2973381962528208,3.1220510606546186,0.08807860314357885,0.924825333007578,paper-run-primary-a-wine01-su2_haar-s3
iris01,su2_cnot,0,6,3,1,,"[1, 3, 11, 20]",64,64,6,63,0.09523809523809523,64,64,full_basis,0.5,False,0,0,0.1777449054886465,1.8663215076307882,0.37369724706709756,3.9238210942045244,0.0898919261138563,0.9438652241954911,paper-run-primary-a-iris01-su2_cnot-s0
iris01,u1_rzxy,3,6,3,1,1000,"[15, 33, 34, 40]",64,64,5,19,0.2631578947368421,20,7,half_filled_sector,0.5,True,392,392000,0.8664331972755018,3.2924461496469073,0.9508542034434517,3.613245973085117,0.29409268582497194,1.1175522061348935,paper-run-finite-iris01-u1_rzxy-q1000-s3
wine01,su2_cnot,5,6,3,1,,"[2, 33, 36, 38]",64,64,6,63,0.09523809523809523,64,64,full_basis,0.5,False,0,0,0.18217684551173374,1.9128568778732045,0.33128178029848343,3.478458693134076,0.09893375751012556,1.0388044538563186,paper-run-primary-a-wine01-su2_cnot-s5
iris01,u1_rzxy,1,6,3,1,1000,"[18, 23, 29, 30]",64,64,5,19,0.2631578947368421,20,7,half_filled_sector,0.5,True,392,392000,0.8952140488532847,3.401813385642482,0.9766634601339859,3.7113211485091466,0.0794481540370407,0.30190298534075466,paper-run-finite-iris01-u1_rzxy-q1000-s1
iris01,su2_cnot,15,6,3,1,,"[7, 28, 33, 37]",64,64,6,63,0.09523809523809523,64,64,full_basis,0.5,False,0,0,0.2144002904724208,2.2512030499604183,0.4245946042123939,4.458243344230136,0.09670702122244854,1.0154237228357097,paper-run-primary-b-iris01-su2_cnot-s15
breast_cancer,ryrz_cz,17,6,3,1,,"[6, 10, 29, 33]",64,64,6,63,0.09523809523809523,64,64,full_basis,0.5,False,0,0,0.3230365308535528,3.3918835739623043,0.41252892355469606,4.331553697324309,0.11267968063089963,1.1831366466244462,paper-run-primary-b-breast_cancer-ryrz_cz-s17
iris01,su2_haar,0,6,3,1,,"[1, 3, 11, 20]",64,64,6,63,0.09523809523809523,64,64,full_basis,0.5,False,0,0,0.20431999850671245,2.1453599843204807,0.35404393850405813,3.7174613542926105,0.09123901700358768,0.9580096785376707,paper-run-scaling-su2_haar-n6-s0
