dataset,family,seed,rank,centered_score_dimension,same_record_finite_shot,physical_metric_trace,physical_metric_rank,random_rank_metric_trace,random_rank_metric_rank,aligned_crossfit_metric_trace,aligned_crossfit_metric_rank,physical_vs_random_fro,physical_vs_aligned_fro,paper_tag
wine01,ryrz_cz,8,6,63,False,12.868103736910596,12,4.468017857852657,12,8.860021200917028,12,3.7946195579389035,2.3052780984571206,paper-run-primary-a-wine01-ryrz_cz-s8
wine01,ryrz_cz,19,6,63,False,13.996073253250225,12,4.6981288891217075,12,10.775072728351178,12,3.7736554669938434,2.1354212038539004,paper-run-primary-b-wine01-ryrz_cz-s19
wine01,su2_haar,3,6,63,False,4.370963103228393,12,1.8768133777450946,12,3.2018193034067184,12,1.5197908677779253,1.174967980674523,paper-run-primary-a-wine01-su2_haar-s3
iris01,su2_cnot,0,6,63,False,5.203844211821738,12,2.1819156999782496,12,8.950588469450809,12,2.737955976287139,3.642183674961894,paper-run-primary-a-iris01-su2_cnot-s0
iris01,u1_rzxy,3,5,19,True,19.328892213843254,10,10.439521226564088,10,41.598250583599246,10,9.328996611323104,21.878153269625265,paper-run-finite-iris01-u1_rzxy-q1000-s3
wine01,su2_cnot,5,6,63,False,5.933618247020525,12,3.2256857061970456,12,6.667647731448444,12,2.5707221714042237,1.8944995645994693,paper-run-primary-a-wine01-su2_cnot-s5
iris01,u1_rzxy,1,5,19,True,8.709487155110589,10,2.1228267533830154,10,11.456648876639555,10,4.7984225032952175,2.8187993334600954,paper-run-finite-iris01-u1_rzxy-q1000-s1
iris01,su2_cnot,15,6,63,False,4.913957277622804,12,2.9052702725679294,12,9.854663740347766,12,2.448510584257525,3.649528455139911,paper-run-primary-b-iris01-su2_cnot-s15
breast_cancer,ryrz_cz,17,6,63,False,12.48593586549687,12,4.78473246093738,12,8.671005291504006,12,3.2546249572919135,2.2677528938206417,paper-run-primary-b-breast_cancer-ryrz_cz-s17
iris01,su2_haar,0,6,63,False,5.765465886459586,12,2.453882112173374,12,7.516875145742167,12,2.4266196010668706,2.508743984948203,paper-run-scaling-su2_haar-n6-s0
breast_cancer,su2_haar,18,6,63,False,4.979195228236564,12,2.7691855266309853,12,6.092877476924072,12,1.3990801898397833,1.5182580689881535,paper-run-primary-b-breast_cancer-su2_haar-s18
iris01,u1_rzxy,19,5,19,False,2.122861921643828,10,1.1628924214883232,10,2.1619634282432925,10,0.6843303903381037,0.03932413657668922,paper-run-primary-b-iris01-u1_rzxy-s19
digits01,su2_haar,19,6,63,False,6.1385437710492115,12,3.3141537114003117,12,5.774114125630454,12,1.858569333153402,1.6150644302402901,paper-run-primary-b-digits01-su2_haar-s19
breast_cancer,su2_haar,2,6,63,False,6.156130136041414,12,2.5995583280500565,12,4.848109697350968,12,1.8765784218077661,1.4027669018313424,paper-run-primary-a-breast_cancer-su2_haar-s2
digits01,u1_rzxy,19,5,19,False,1.854253747432419,10,1.2048205754418673,10,1.8680350301704813,10,0.35920425806431167,0.01385114991756298,paper-run-primary-b-digits01-u1_rzxy-s19
iris01,u1_rzxy,3,14,19,False,3.072710050431776,16,2.6134310051355607,16,3.072710059416009,16,0.35641201144759704,9.778889885684578e-09,paper-run-order-iris01-u1_rzxy-r2-s3
iris01,ryrz_cz,12,6,63,False,12.772788800940868,12,3.1589225762780737,12,10.577737618304091,12,4.137765489702501,2.4733678767519804,paper-run-primary-b-iris01-ryrz_cz-s12
breast_cancer,su2_haar,6,6,63,False,3.9431263455420655,12,1.9904949990770788,12,2.901200114815997,12,1.2704296144704217,1.1209427617323806,paper-run-primary-a-breast_cancer-su2_haar-s6
breast_cancer,u1_rzxy,0,5,19,False,1.024077961213072,10,0.28488652261879266,10,1.0293982411581557,10,0.4282604569620315,0.01126637100860453,paper-run-primary-a-breast_cancer-u1_rzxy-s0
