method,lr,lam,validation_loss,validation_acc,train_loss,seconds
AQNG-Z0,0.015,0.0003,0.8171505805314806,0.6666666666666666,0.7048408929491126,6.683350558000001
AQNG-Z0,0.015,0.001,0.8171346945341295,0.6666666666666666,0.7048273019767293,6.7286171490000015
AQNG-Z0,0.015,0.003,0.8170893059533505,0.6666666666666666,0.7047884701643874,6.775052399999993
AQNG-Z0,0.03,0.0003,0.6245814146139349,0.75,0.5392299578940741,6.775687687000016
AQNG-Z0,0.03,0.001,0.6245558554098354,0.75,0.5392101435031142,6.69771795500003
AQNG-Z0,0.03,0.003,0.6244828063580955,0.75,0.5391535159943007,6.806722072000014
AQNG-Z0,0.06,0.0003,0.38826877070132215,1.0,0.3689109265618017,6.783478056999968
AQNG-Z0,0.06,0.001,0.38824079135114214,1.0,0.36888153106740945,6.805756393000024
AQNG-Z0,0.06,0.003,0.3881608616709787,1.0,0.3687975959180312,6.852113015999976
Block-QNG,0.015,0.0003,1.2298132673951696,0.4166666666666667,1.0873385479492794,5.184321081000007
Block-QNG,0.015,0.001,1.2187743295853786,0.4166666666666667,1.0754309661145591,5.183060885999964
Block-QNG,0.015,0.003,1.2004096439161356,0.4166666666666667,1.056866161351641,5.175616450999996
Block-QNG,0.03,0.0003,1.1499830053549909,0.5,1.0002755826867573,5.11864210899995
Block-QNG,0.03,0.001,1.1324990888635307,0.5,0.984266349518128,5.071971977999965
Block-QNG,0.03,0.003,1.0869142168801806,0.5,0.942770354939816,5.069646753000029
Block-QNG,0.06,0.0003,0.9851285060171708,0.5,0.8411285563212406,5.08495283100001
Block-QNG,0.06,0.001,0.9615995726669894,0.5,0.8174006441716151,5.06823286599996
Block-QNG,0.06,0.003,0.9051038680363144,0.5833333333333334,0.7734642592400759,5.173369081999965
SGD,0.005,0.003,1.2758514560094527,0.4166666666666667,1.14389038321381,0.309958158000029
SGD,0.015,0.003,1.1951843562117792,0.4166666666666667,1.0586525221784477,0.32432201499995017
SGD,0.03,0.003,1.0827384794137525,0.5,0.9439174227037863,0.31228743000002623
SGD,0.06,0.003,0.8912639171533546,0.5833333333333334,0.7616594607428869,0.3288755940000101
SGD,0.1,0.003,0.7019518116251736,0.75,0.6000022089908399,0.31279789100000244
Adam,0.001,0.003,1.2950048776715033,0.4166666666666667,1.1656890042987351,0.3102061509999885
Adam,0.003,0.003,1.250425618598763,0.4166666666666667,1.1202584872661596,0.31506871800002045
Adam,0.01,0.003,1.1037715318082062,0.5,0.973684815926258,0.3203015699999696
Adam,0.03,0.003,0.7724570294240308,0.6666666666666666,0.6686121562080283,0.31476321200000257
Adam,0.06,0.003,0.4709801336583815,1.0,0.44894761187803967,0.317566118000002
