dataset,family,shots,method,training_shots_total,calibration_shots_shared,end_to_end_shots_including_calibration,training_executions_total,calibration_executions_shared,end_to_end_executions_including_calibration
digits01,su2_haar,1000.0,AQNG-aligned,6600000.0,440000.0,7040000.0,6600.0,440.0,7040.0
digits01,su2_haar,1000.0,AQNG-physical,6600000.0,440000.0,7040000.0,6600.0,440.0,7040.0
digits01,su2_haar,1000.0,AQNG-random,6600000.0,440000.0,7040000.0,6600.0,440.0,7040.0
digits01,su2_haar,1000.0,Full-QNG,4400000.0,440000.0,4840000.0,4400.0,440.0,4840.0
digits01,su2_haar,10000.0,AQNG-aligned,66000000.0,4400000.0,70400000.0,6600.0,440.0,7040.0
digits01,su2_haar,10000.0,AQNG-physical,66000000.0,4400000.0,70400000.0,6600.0,440.0,7040.0
digits01,su2_haar,10000.0,AQNG-random,66000000.0,4400000.0,70400000.0,6600.0,440.0,7040.0
digits01,su2_haar,10000.0,Full-QNG,44000000.0,4400000.0,48400000.0,4400.0,440.0,4840.0
digits01,u1_rzxy,1000.0,AQNG-aligned,6840000.0,392000.0,7232000.0,6840.0,392.0,7232.0
digits01,u1_rzxy,1000.0,AQNG-physical,6840000.0,392000.0,7232000.0,6840.0,392.0,7232.0
digits01,u1_rzxy,1000.0,AQNG-random,6840000.0,392000.0,7232000.0,6840.0,392.0,7232.0
digits01,u1_rzxy,1000.0,Full-QNG,4880000.0,392000.0,5272000.0,4880.0,392.0,5272.0
digits01,u1_rzxy,10000.0,AQNG-aligned,68400000.0,3920000.0,72320000.0,6840.0,392.0,7232.0
digits01,u1_rzxy,10000.0,AQNG-physical,68400000.0,3920000.0,72320000.0,6840.0,392.0,7232.0
digits01,u1_rzxy,10000.0,AQNG-random,68400000.0,3920000.0,72320000.0,6840.0,392.0,7232.0
digits01,u1_rzxy,10000.0,Full-QNG,48800000.0,3920000.0,52720000.0,4880.0,392.0,5272.0
iris01,su2_haar,1000.0,AQNG-aligned,6600000.0,440000.0,7040000.0,6600.0,440.0,7040.0
iris01,su2_haar,1000.0,AQNG-physical,6600000.0,440000.0,7040000.0,6600.0,440.0,7040.0
iris01,su2_haar,1000.0,AQNG-random,6600000.0,440000.0,7040000.0,6600.0,440.0,7040.0
iris01,su2_haar,1000.0,Full-QNG,4400000.0,440000.0,4840000.0,4400.0,440.0,4840.0
iris01,su2_haar,10000.0,AQNG-aligned,66000000.0,4400000.0,70400000.0,6600.0,440.0,7040.0
iris01,su2_haar,10000.0,AQNG-physical,66000000.0,4400000.0,70400000.0,6600.0,440.0,7040.0
iris01,su2_haar,10000.0,AQNG-random,66000000.0,4400000.0,70400000.0,6600.0,440.0,7040.0
iris01,su2_haar,10000.0,Full-QNG,44000000.0,4400000.0,48400000.0,4400.0,440.0,4840.0
iris01,u1_rzxy,1000.0,AQNG-aligned,6840000.0,392000.0,7232000.0,6840.0,392.0,7232.0
iris01,u1_rzxy,1000.0,AQNG-physical,6840000.0,392000.0,7232000.0,6840.0,392.0,7232.0
iris01,u1_rzxy,1000.0,AQNG-random,6840000.0,392000.0,7232000.0,6840.0,392.0,7232.0
iris01,u1_rzxy,1000.0,Full-QNG,4880000.0,392000.0,5272000.0,4880.0,392.0,5272.0
iris01,u1_rzxy,10000.0,AQNG-aligned,68400000.0,3920000.0,72320000.0,6840.0,392.0,7232.0
iris01,u1_rzxy,10000.0,AQNG-physical,68400000.0,3920000.0,72320000.0,6840.0,392.0,7232.0
iris01,u1_rzxy,10000.0,AQNG-random,68400000.0,3920000.0,72320000.0,6840.0,392.0,7232.0
iris01,u1_rzxy,10000.0,Full-QNG,48800000.0,3920000.0,52720000.0,4880.0,392.0,5272.0
