dataset,family,shots,method,n,test_loss_mean,test_loss_std,test_acc_mean,test_acc_std,train_loss_mean,total_seconds_mean,first_g_dot_d_mean,first_actual_decrease_mean
digits01,su2_haar,1000.0,AQNG-aligned,5,0.66084801859613,0.07341023007831542,0.7733333333333333,0.07601169500660927,0.47594959058873243,18.94927477860001,4.205459708354743,0.23209347411859219
digits01,su2_haar,1000.0,AQNG-physical,5,0.7292266082687977,0.15835857014854243,0.7466666666666667,0.1095445115010333,0.5056068501396112,18.927135522999983,3.665548532782792,0.21738641866449065
digits01,su2_haar,1000.0,AQNG-random,5,0.63832774080041,0.07124031633228155,0.76,0.036514837167011094,0.47478727179143476,18.978335418400054,4.463554145478215,0.23683131437445012
digits01,su2_haar,1000.0,Full-QNG,5,0.8292717658344777,0.25654005478167385,0.6799999999999999,0.1788854381999832,0.6567505107543894,211.650773226,1.3790522298194061,0.05641282651876021
digits01,su2_haar,10000.0,AQNG-aligned,5,0.6239268111623268,0.0802753677870982,0.8,0.0666666666666667,0.4472973219899063,25.5964398228,3.822531819383793,0.2230711691229006
digits01,su2_haar,10000.0,AQNG-physical,5,0.7267463212781841,0.0755329633352933,0.76,0.0760116950066092,0.49636407741570154,26.0221941544,3.5229325986295534,0.21645826306266006
digits01,su2_haar,10000.0,AQNG-random,5,0.7020051655282871,0.07672058577174343,0.7866666666666666,0.07302967433402219,0.5218840261720101,25.776462541800004,4.522326533311101,0.24590032445244123
digits01,su2_haar,10000.0,Full-QNG,5,0.7900200271766422,0.1959955086953508,0.6799999999999999,0.12823589374447564,0.6207647405710519,228.80522500040001,1.3627307541821367,0.07161120755991705
digits01,u1_rzxy,1000.0,AQNG-aligned,5,1.8304914392783385,0.24935670407380625,0.4666666666666667,0.0,1.6440665204900604,18.091637584200008,0.1625598231957961,0.01298068262313438
digits01,u1_rzxy,1000.0,AQNG-physical,5,1.8859427112594673,0.19906915221845847,0.4666666666666667,0.0,1.7407557103144462,18.221220306999996,0.07232294821530609,0.0038444417970251595
digits01,u1_rzxy,1000.0,AQNG-random,5,1.8666019641596114,0.21168474604266987,0.4666666666666667,0.0,1.6929019205060374,18.142798939199995,0.13151064958658007,0.00684197605329886
digits01,u1_rzxy,1000.0,Full-QNG,5,2.1233302420336164,0.005831744747566693,0.4666666666666667,0.0,1.9464411261536019,150.6911354972,0.037753882525060484,0.00027841627136796605
digits01,u1_rzxy,10000.0,AQNG-aligned,5,2.049273332475823,0.10121292639979339,0.4666666666666667,0.0,1.893600440655682,22.6057883504,0.00927029006712648,0.00040440623878556896
digits01,u1_rzxy,10000.0,AQNG-physical,5,2.068819476100056,0.07566424078632353,0.4666666666666667,0.0,1.9052727324873893,22.578480620800004,0.01073650335787306,0.00048279962325234
digits01,u1_rzxy,10000.0,AQNG-random,5,2.0186437544349425,0.17157126825800095,0.4666666666666667,0.0,1.8650846729059425,22.5442684536,0.02237042751071722,0.001388916230697
digits01,u1_rzxy,10000.0,Full-QNG,5,2.124449056582596,0.006059186828947328,0.4666666666666667,0.0,1.9475216855430364,153.8282938556,0.0069349474968757995,0.00022251146570174588
iris01,su2_haar,1000.0,AQNG-aligned,5,0.24621406026780904,0.04031716470796799,1.0,0.0,0.24366258178551786,18.415982005799997,7.331166045566282,0.440878877595655
iris01,su2_haar,1000.0,AQNG-physical,5,0.24864776540688097,0.053768841728028094,0.9733333333333333,0.03651483716701112,0.26530256222257076,18.305445616600004,5.003721400776432,0.3100109155262082
iris01,su2_haar,1000.0,AQNG-random,5,0.23758562865840843,0.060461299990256255,1.0,0.0,0.22654985345709036,18.3869811318,8.567008152761023,0.5026603285941711
iris01,su2_haar,1000.0,Full-QNG,5,0.45719023242631457,0.12185631991959348,0.9199999999999999,0.08692269873603528,0.4049475234553852,205.13266835559998,2.3766622330834486,0.10572604038005666
iris01,su2_haar,10000.0,AQNG-aligned,5,0.2538734263985929,0.09547212109624419,0.9466666666666667,0.055777335102271695,0.24876097859932242,24.953856908400006,7.083581943919202,0.44284054436645226
iris01,su2_haar,10000.0,AQNG-physical,5,0.2838312211700386,0.06663858704549594,0.9866666666666667,0.029814239699997237,0.28460680437338515,25.259041909999997,4.742936174898102,0.319512417938715
iris01,su2_haar,10000.0,AQNG-random,5,0.2163558519475078,0.050513167774167436,1.0,0.0,0.2179232772215917,25.064340182600002,8.190231318854046,0.4756116086533546
iris01,su2_haar,10000.0,Full-QNG,5,0.44062538216966846,0.1069412468759758,0.9199999999999999,0.05577733510227169,0.397741290118405,213.97674372720002,2.287078828171068,0.12832040753166638
iris01,u1_rzxy,1000.0,AQNG-aligned,5,1.5979509531226368,0.0633101228172582,0.4666666666666667,0.0,1.498967611213717,17.373729093799998,0.1640984409102833,0.011988372976575599
iris01,u1_rzxy,1000.0,AQNG-physical,5,1.6581175925589247,0.1645871107708702,0.4666666666666667,0.0,1.5534018841730763,17.437524289800006,0.06439686518820607,0.0034987442719841403
iris01,u1_rzxy,1000.0,AQNG-random,5,1.5157999567100124,0.3387688520834633,0.4666666666666667,0.0,1.4328220692016422,17.2628132786,0.12615949033324528,0.00778671367794216
iris01,u1_rzxy,1000.0,Full-QNG,5,2.1055565355444887,0.040073657843942005,0.4666666666666667,0.0,1.9332517213867582,143.7697270238,0.05364943645449481,0.0002851063516420567
iris01,u1_rzxy,10000.0,AQNG-aligned,5,2.0021104753158396,0.1804845187271189,0.4666666666666667,0.0,1.8451333870852338,21.800315627199996,0.014509850618481002,0.00070256276957986
iris01,u1_rzxy,10000.0,AQNG-physical,5,1.9940580905892915,0.2159049633321659,0.4666666666666667,0.0,1.8390590203834272,21.9007363884,0.014781628510691239,0.00061080577842704
iris01,u1_rzxy,10000.0,AQNG-random,5,1.9538584738481433,0.16589901756200165,0.4666666666666667,0.0,1.8038655176952223,21.671716847800003,0.03812023089228518,0.0032031302763951804
iris01,u1_rzxy,10000.0,Full-QNG,5,2.1186351514130783,0.016399878499160216,0.4666666666666667,0.0,1.943548065910041,148.4255271494,0.0069234430955409,0.00024385036227614617
