dataset,family,n_qubits,method,n,test_loss_mean,test_loss_std,test_acc_mean,test_acc_std,train_loss_mean,total_seconds_mean,first_g_dot_d_mean,first_actual_decrease_mean
iris01,su2_haar,4,AQNG-aligned,5,0.2214708568116106,0.08939784478339373,0.96,0.05962847939999439,0.22637895255511314,3.659083820400002,6.497850926958767,0.3412354837283821
iris01,su2_haar,4,AQNG-physical,5,0.20720695630044883,0.09161773130427997,0.9733333333333333,0.03651483716701112,0.20185923161832556,3.648991816999998,4.911546817226358,0.2522404770366712
iris01,su2_haar,4,AQNG-random,5,0.22026507979250445,0.09197233990823982,0.9733333333333333,0.036514837167011115,0.20646552507629118,3.582354777399999,6.913009471228207,0.3713343080374334
iris01,su2_haar,4,Full-QNG,5,0.37719447664702255,0.10222211028734839,0.9066666666666666,0.03651483716701102,0.3514434196347291,51.469768180200006,2.1613963115887307,0.1084154714594537
iris01,su2_haar,6,AQNG-aligned,5,0.23734562986065694,0.0714152349187076,0.9733333333333333,0.036514837167011115,0.2410983739788141,14.8590096872,7.046360754952365,0.4362744451965062
iris01,su2_haar,6,AQNG-physical,5,0.2729227960955437,0.08327277586747064,0.9733333333333333,0.036514837167011115,0.27665747492081283,14.948164982200002,4.798508395570093,0.32148519055831953
iris01,su2_haar,6,AQNG-random,5,0.24102699104890624,0.051995104423736505,0.9733333333333333,0.036514837167011135,0.2347670666431953,14.949087735200001,8.19879338362352,0.48069406169879525
iris01,su2_haar,6,Full-QNG,5,0.46387265825616114,0.12396067741112755,0.9066666666666666,0.059628479399994376,0.41179347492555596,189.1775213416,2.2834531003903105,0.13106375465477366
iris01,su2_haar,8,AQNG-aligned,5,0.16776231814557843,0.056346903787256535,1.0,0.0,0.1653428980113628,74.87449206840002,6.452500799215431,0.36973362496773876
iris01,su2_haar,8,AQNG-physical,5,0.23767612076362962,0.10034165998004517,0.96,0.05962847939999438,0.24218081483677958,75.59232948359998,3.9162128241954632,0.2322295869974727
iris01,su2_haar,8,AQNG-random,5,0.20961681315646605,0.0746457460641345,0.9733333333333333,0.036514837167011115,0.24032272123807008,75.39285334899998,7.002541007018398,0.38833257191298304
iris01,su2_haar,8,Full-QNG,5,0.4762019273055328,0.17792908156049161,0.9333333333333332,0.08164965809277258,0.5271725780541974,608.5655122864,1.9630536893738184,0.11748005487214305
iris01,su2_haar,10,AQNG-aligned,5,0.25379100834349433,0.05849755417115028,0.9866666666666667,0.02981423969999725,0.2616887704663247,396.26298809659994,5.21952223525706,0.2690361871090535
iris01,su2_haar,10,AQNG-physical,5,0.2410317924854844,0.1096892121988397,0.96,0.05962847939999439,0.2462349765857723,397.3768689334,3.702919622234122,0.16866936527410925
iris01,su2_haar,10,AQNG-random,5,0.25203564359343034,0.10625839961203914,0.96,0.05962847939999438,0.23642551946630014,396.9055009924001,6.677047317256442,0.3416092414346965
iris01,su2_haar,10,Full-QNG,5,0.4295283414045631,0.24467316416763346,0.8533333333333333,0.16599866130651642,0.44817894457699187,1455.3297285725998,2.119136532291015,0.1025455231008043
iris01,u1_rzxy,4,AQNG-aligned,5,2.058910683536931,0.11773293126618185,0.4666666666666667,0.0,1.8915698093387303,1.528937787800004,0.007554401088214679,0.000552643688988881
iris01,u1_rzxy,4,AQNG-physical,5,2.0596340004210143,0.11833809198777454,0.4666666666666667,0.0,1.8922146534917883,1.5115950416000004,0.00755291798514604,0.0005524439993551333
iris01,u1_rzxy,4,AQNG-random,5,1.587261584180871,0.5116314074627268,0.4666666666666667,0.0,1.4922619957678787,1.5881052625999956,0.01022007188585516,0.00076845019356214
iris01,u1_rzxy,4,Full-QNG,5,2.1025169676872197,0.0346563147318365,0.4666666666666667,0.0,1.9300040058901853,26.532087127,0.0063528163287664,0.00039285841744677734
iris01,u1_rzxy,6,AQNG-aligned,5,2.1223387778037925,0.013715991605834643,0.4666666666666667,0.0,1.9466038496206042,8.682284269799998,0.00289757595799108,0.00017399620607186193
iris01,u1_rzxy,6,AQNG-physical,5,2.1226077106331447,0.01316572812856442,0.4666666666666667,0.0,1.9468132710133201,8.607850096000002,0.0028392469504126996,0.00017051196912393373
iris01,u1_rzxy,6,AQNG-random,5,1.6130729371837333,0.5697321027155843,0.4666666666666667,0.0,1.5172005023906607,8.6411738366,0.02567854870948208,0.0018922544962048198
iris01,u1_rzxy,6,Full-QNG,5,2.1208483995685277,0.01203017959156581,0.4666666666666667,0.0,1.945219741607439,138.5535196258,0.0039760017937702005,0.00024328202642407998
iris01,u1_rzxy,8,AQNG-aligned,5,2.133332396751788,1.9241218944602535e-06,0.4666666666666667,0.0,1.9555546956307914,42.068551126600006,1.1908293856139038e-07,7.158842185717164e-09
iris01,u1_rzxy,8,AQNG-physical,5,2.1333323971851983,1.9241916959664313e-06,0.4666666666666667,0.0,1.9555546960278125,42.371365143000006,1.185459920474267e-07,7.126561518688846e-09
iris01,u1_rzxy,8,AQNG-random,5,2.133332379943145,1.9622652018556876e-06,0.4666666666666667,0.0,1.955554680195074,42.3938472036,1.6837029436187405e-07,1.0130906691330212e-08
iris01,u1_rzxy,8,Full-QNG,5,2.1333322826085905,2.1796636430702025e-06,0.4666666666666667,0.0,1.955554590821545,442.9693647974001,3.1199127701051475e-07,1.8814587798843268e-08
iris01,u1_rzxy,10,AQNG-aligned,5,2.133333275876889,1.24334819177981e-07,0.4666666666666667,0.0,1.9555555028874245,246.32671868059998,1.6143878067738047e-09,9.689959945546889e-11
iris01,u1_rzxy,10,AQNG-physical,5,2.1333332759240924,1.242297002371366e-07,0.4666666666666667,0.0,1.9555555029306941,244.50717334279997,1.5397067769598006e-09,9.24155862946918e-11
iris01,u1_rzxy,10,AQNG-random,5,2.1333332757880874,1.2453328838434039e-07,0.4666666666666667,0.0,1.9555555028060199,245.43624906120004,1.7917534562866188e-09,1.0755614177071493e-10
iris01,u1_rzxy,10,Full-QNG,5,2.1333332758556534,1.2438584021365494e-07,0.4666666666666667,0.0,1.9555555028679557,1118.0828490334002,1.646895156294707e-09,9.885492424643871e-11
